機関コード	10104
機関名称（日）	小樽商科大学
機関名称（英）	Otaru University of Commerce
設置種別	国立大学
機関規模	D

機関リポジトリ名称（日）	小樽商科大学学術成果コレクション
機関リポジトリ名称（英）	Otaru University of Commerce Academic Collections
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/46.gif
機関リポジトリへのリンク（日）	http://barrel.ih.otaru-uc.ac.jp/
機関リポジトリへのリンク（英）	http://barrel.ih.otaru-uc.ac.jp/dspace/?locale=en&lang=en
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/46.jpg
郵便番号	047-8502
住所	北海道小樽市緑3丁目5番21号
使用ソフトウェア	Dspace
試験公開日	2007/11/07
本公開日	2008/03/07
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	575	4	3149	41	1	98	125	13	79	0	1	0	0	5	4091
2011/10	565	4	3149	41	1	76	125	13	77	0	1	0	0	5	4057
2011/09	563	3	3149	40	1	70	125	13	76	0	0	0	0	5	4045
2011/08	548	3	3149	40	1	67	125	13	75	0	0	0	0	5	4026
2011/07	544	3	3140	41	1	60	125	13	72	0	0	0	0	5	4004
2011/06	538	3	3140	38	1	60	125	13	71	0	0	0	0	5	3994
2011/05	535	3	3125	38	1	60	125	13	67	0	0	0	0	5	3972
2011/04	532	3	3125	38	1	60	124	13	58	0	0	0	0	5	3959
2011/03	525	2	3101	38	1	55	120	13	58	0	0	0	0	5	3918
2011/02	525	2	3084	38	1	55	120	13	58	0	0	0	0	5	3901
2011/01	522	2	3047	38	1	54	119	13	58	0	0	0	0	5	3859
2010/12	519	2	3013	37	1	54	119	13	58	0	0	0	0	5	3821
2010/11	515	2	2990	35	1	54	119	13	58	0	0	0	0	5	3792
2010/10	508	2	2986	34	1	54	119	13	57	0	0	0	0	5	3779
2010/09	488	2	2980	32	1	48	118	13	56	0	0	0	0	5	3743
2010/08	479	2	2981	32	1	42	118	13	55	0	0	0	0	5	3728
2010/07	476	2	2979	31	1	38	106	13	53	0	0	0	0	5	3704
2010/06	473	2	2978	31	1	36	86	13	53	0	0	0	0	5	3678
2010/05	464	2	2974	23	0	34	53	11	49	0	0	0	0	5	3615
2010/04	460	2	2957	23	0	33	52	8	48	0	0	0	0	5	3588
2010/03	448	2	2893	22	0	33	51	8	36	0	0	0	0	5	3498
2010/02	443	2	2854	22	0	31	51	8	33	0	0	0	0	5	3449
2010/01	443	2	2854	22	0	31	51	5	33	0	0	0	0	5	3446
2009/12	441	2	2690	22	0	31	51	5	33	0	0	0	0	5	3280
2009/11	437	2	2543	21	0	31	51	5	33	0	0	0	0	5	3128
2009/10	431	2	2449	20	0	30	51	5	33	0	0	0	0	5	3026
2009/09	425	2	2328	20	0	30	49	5	32	0	0	0	0	5	2896
2009/08	409	1	2151	20	0	28	49	5	30	0	0	0	0	5	2698
2009/07	404	1	1978	20	0	26	49	5	30	0	0	0	0	5	2518
2009/06	399	0	1860	20	0	26	47	5	30	0	0	0	0	5	2392
2009/05	395	0	1632	20	0	25	28	5	29	0	0	0	0	5	2139
2009/04	390	0	1554	20	0	23	15	5	29	0	0	0	0	5	2041
2009/03	390	0	1497	19	0	22	15	5	27	0	0	0	0	4	1979
2009/02	382	0	1334	19	0	21	13	5	24	0	0	0	0	4	1802
2009/01	354	0	1067	19	0	21	13	5	15	0	0	0	0	4	1498
2008/12	350	0	971	19	0	21	13	5	14	0	0	0	0	4	1397
2008/11	337	0	787	18	0	21	13	5	14	0	0	0	0	4	1199
2008/10	301	0	645	17	0	16	13	5	12	0	0	0	0	4	1013
2008/09	281	0	584	17	0	15	12	4	12	0	0	0	0	3	928
2008/08	240	0	583	15	0	15	11	4	9	0	0	0	0	3	880
2008/07	224	0	576	11	0	15	10	4	9	0	0	0	0	3	852
2008/06	170	0	573	9	0	12	0	4	9	0	0	0	0	3	780
2008/05	140	0	568	9	0	11	0	3	7	0	0	0	0	3	741
2008/04	135	0	418	9	0	11	0	3	7	0	0	0	0	3	586
2008/03	117	0	48	9	0	11	0	3	6	0	0	0	0	2	196
2008/02	103	0	30	4	0	8	0	3	5	0	0	0	0	2	155
2008/01	83	0	6	3	0	6	0	3	5	0	0	0	0	2	108
2007/12	70	0	3	2	0	3	0	2	3	0	0	0	0	2	85
2007/11	43	0	0	0	0	0	0	0	2	0	0	0	0	1	46
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
