機関コード	18001
機関名称（日）	琉球大学
機関名称（英）	University of the Ryukyus
設置種別	国立大学
機関規模	B

機関リポジトリ名称（日）	琉球大学学術リポジトリ
機関リポジトリ名称（英）	University of the Ryukyus Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/47.jpg
機関リポジトリへのリンク（日）	http://ir.lib.u-ryukyu.ac.jp
機関リポジトリへのリンク（英）	http://ir.lib.u-ryukyu.ac.jp/ir/repo_top_en.htm
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/47.gif
郵便番号	903-0214
住所	沖縄県中頭郡西原町字千原１番地
使用ソフトウェア	NALIS-R
試験公開日	2007/03/01
本公開日	2007/11/16
備考（日）	琉球大学学術リポジトリは、本学の教育研究活動等にオンラインでいつでも誰でもアクセスすることができるように、琉球大学が責任を持ってこの教育研究活動等を収集し、蓄積し、無償で公開するなどの運営を行うサービスです。試験運用を経て、2007年（平成19年）11月16日から本格運用を開始しました。<BR>CiNii連携対象
備考（英）	University of the Ryukyus Repository’s purpose is to collect scientific research/education results of University of the Ryukyus, and to offer them to all over the world.<BR>This IR cooperates with CiNii 

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	251	8	3546	143	14	5	0	656	149	1	0	0	0	414	5187
2010/04	251	8	3518	143	14	5	0	649	149	1	0	0	0	413	5151
2010/03	251	8	3484	143	14	5	0	649	149	1	0	0	0	413	5117
2010/02	248	8	3434	143	14	5	0	627	149	1	0	0	0	413	5042
2010/01	248	8	3381	143	14	5	0	623	149	1	0	0	0	413	4985
2009/12	247	8	3257	143	14	5	0	614	149	1	0	0	0	413	4851
2009/11	247	6	3171	143	14	5	0	556	149	1	0	0	0	413	4705
2009/10	246	6	3150	143	14	5	0	539	149	1	0	0	0	413	4666
2009/09	245	6	3118	143	14	5	0	538	61	1	0	0	0	413	4544
2009/08	245	6	3094	143	14	5	0	519	61	1	0	0	0	413	4501
2009/07	245	6	3056	143	13	5	0	456	60	1	0	0	0	413	4398
2009/06	245	6	3029	143	12	5	0	441	60	1	0	0	0	413	4355
2009/05	245	6	2998	143	12	5	0	436	60	1	0	0	0	409	4315
2009/04	242	6	2974	143	12	5	0	391	60	1	0	0	0	296	4130
2009/03	242	6	2938	143	12	5	0	310	53	1	0	0	0	290	4000
2009/02	239	6	2933	143	12	5	0	280	53	1	0	0	0	290	3962
2009/01	239	6	2933	143	8	5	0	274	53	1	0	0	0	290	3952
2008/12	1	2	23	22	0	0	0	0	0	0	0	0	0	0	48
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
