機関コード	14403
機関名称（日）	大阪教育大学
機関名称（英）	Osaka Kyoiku University
設置種別	国立大学
機関規模	D

機関リポジトリ名称（日）	大阪教育大学リポジトリ
機関リポジトリ名称（英）	Osaka Kyoiku University Repository 
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/48.gif
機関リポジトリへのリンク（日）	http://ir.lib.osaka-kyoiku.ac.jp/dspace/
機関リポジトリへのリンク（英）	http://ir.lib.osaka-kyoiku.ac.jp/dspace/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/48.gif
郵便番号	582-8582
住所	大阪府柏原市旭ヶ丘4-698-1
使用ソフトウェア	DSpace
試験公開日	2007/08/02
本公開日	2007/11/01
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	342	31	4781	0	28	104	4	118	0	0	63	0	0	1445	6916
2011/10	342	27	4680	0	28	104	4	118	0	0	63	0	0	1418	6784
2011/09	341	27	4655	0	28	104	4	115	0	0	63	0	0	1405	6742
2011/08	341	27	4542	0	28	104	4	109	0	0	63	0	0	1377	6595
2011/07	341	27	4496	0	28	104	4	108	0	0	63	0	0	1358	6529
2011/06	341	27	4496	0	28	104	4	106	0	0	63	0	0	1341	6510
2011/05	341	27	4494	0	44	104	4	104	0	0	63	0	0	1336	6517
2011/04	340	27	4474	0	44	104	4	99	0	0	63	0	0	1336	6491
2011/03	337	27	4461	0	44	104	4	99	0	0	63	0	0	1333	6472
2011/02	336	27	4363	0	46	104	4	56	0	0	63	0	0	1331	6330
2011/01	336	27	3473	0	46	81	4	56	0	0	63	0	0	1250	5336
2010/12	334	27	3285	0	45	81	4	53	0	0	63	0	0	1063	4955
2010/11	333	27	3276	0	45	81	4	49	0	0	63	0	0	1060	4938
2010/10	325	27	3042	0	45	80	4	46	0	0	63	0	0	1003	4635
2010/09	325	27	3042	0	45	80	4	33	0	0	63	0	0	978	4597
2010/08	325	27	3026	0	44	80	4	33	0	0	63	0	0	817	4419
2010/07	325	27	3016	0	25	80	4	33	0	0	63	0	0	811	4384
2010/06	327	27	2790	0	23	80	4	33	0	0	63	0	0	455	3802
2010/05	326	27	2800	0	23	80	3	31	0	0	63	0	0	423	3776
2010/04	320	27	2569	0	23	80	3	17	1	0	62	0	0	193	3295
2010/03	320	27	2569	0	23	80	3	17	1	0	62	0	0	193	3295
2010/02	324	27	2597	0	23	79	3	17	1	0	62	0	0	190	3323
2010/01	324	27	2592	0	23	78	3	17	1	0	62	0	0	190	3317
2009/12	322	27	2396	0	23	77	3	17	1	0	62	0	0	226	3154
2009/11	322	27	2350	0	23	77	3	17	1	0	62	0	0	218	3100
2009/10	322	27	2350	0	22	77	3	17	1	0	62	0	0	210	3091
2009/09	322	27	2350	0	21	77	3	17	1	0	62	0	0	210	3090
2009/08	322	26	2350	0	21	76	3	17	1	0	62	0	0	210	3088
2009/07	339	26	2314	0	17	75	3	13	1	0	62	0	0	209	3059
2009/06	339	26	2314	0	17	75	3	13	1	0	62	0	0	209	3059
2009/05	339	26	2307	0	17	71	3	13	1	0	62	0	0	209	3048
2009/04	339	26	1888	0	17	69	3	13	1	0	62	0	0	162	2580
2009/03	317	26	1546	0	17	64	3	7	1	0	62	0	0	53	2096
2009/02	294	26	1239	0	17	62	3	2	1	0	62	0	0	53	1759
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
