機関コード	32612
機関名称（日）	慶應義塾大学
機関名称（英）	Keio University
設置種別	私立大学
機関規模	A

機関リポジトリ名称（日）	慶應義塾大学学術情報リポジトリ
機関リポジトリ名称（英）	Keio Associated Repository of Academic resources
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/49.gif
機関リポジトリへのリンク（日）	http://koara.lib.keio.ac.jp
機関リポジトリへのリンク（英）	http://koara.lib.keio.ac.jp
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/49.gif
郵便番号	108-8345
住所	東京都港区三田2-15-45
使用ソフトウェア	XooNIps
試験公開日	2006/02/01
本公開日	2006/10/01
備考（日）	略称　KOARA<BR>CiNii連携対象
備考（英）	Abbr. KOARA<BR>This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	4430	36	1165	0	0	18	498	248	172	0	0	0	0	3444	10011
2010/04	4425	35	1120	0	0	18	498	248	170	0	0	0	0	3428	9942
2010/03	4422	34	1095	0	0	12	494	248	170	0	0	0	0	3395	9870
2010/02	4422	34	1095	0	0	0	494	248	170	0	0	0	0	3395	9858
2010/01	4422	34	1085	0	0	0	494	248	169	0	0	0	0	3393	9845
2009/12	4421	34	967	0	0	0	494	248	152	0	0	0	0	3337	9653
2009/11	3870	34	826	0	0	0	494	104	111	0	0	0	0	3079	8518
2009/10	3833	34	826	0	0	0	494	3	101	0	0	0	0	3053	8344
2009/09	3774	34	826	0	0	0	494	3	84	0	0	0	0	3027	8242
2009/08	3774	26	826	0	0	0	490	3	84	0	0	0	0	3027	8230
2009/07	3767	26	826	0	0	0	490	3	84	0	0	0	0	3019	8215
2009/06	3767	26	788	0	0	0	490	3	84	0	0	0	0	2979	8137
2009/05	3767	11	765	0	0	0	402	3	83	0	0	0	0	2946	7977
2009/04	3780	11	719	0	0	0	401	3	91	0	0	0	0	2932	7937
2009/03	3710	11	719	0	0	0	401	3	78	0	0	0	0	2835	7757
2009/02	3184	11	719	0	0	0	399	3	53	0	0	0	0	2704	7073
2009/01	3184	11	719	0	0	0	399	3	53	0	0	0	0	2704	7073
2008/12	3192	11	703	0	0	0	399	3	53	0	0	0	0	2699	7060
2008/11	3219	11	663	0	0	0	400	3	49	0	0	0	0	2685	7030
2008/10	3110	11	663	0	0	0	400	3	46	0	0	0	0	2658	6891
2008/09	3089	11	645	0	0	0	400	3	44	0	0	0	0	2609	6801
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
