機関コード	10103
機関名称（日）	室蘭工業大学
機関名称（英）	Muroran Institute of Technology
設置種別	国立大学
機関規模	D

機関リポジトリ名称（日）	室蘭工業大学学術資源アーカイブ
機関リポジトリ名称（英）	Muroran Institute of Technology Academic Resources Archive
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/50.gif
機関リポジトリへのリンク（日）	http://ir.lib.muroran-it.ac.jp/
機関リポジトリへのリンク（英）	http://ir.lib.muroran-it.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/50.gif
郵便番号	050-8585
住所	北海道室蘭市水元町27-1
使用ソフトウェア	DSpace
試験公開日	2007/07/19
本公開日	2008/03/14
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	91	0	275	7	0	0	0	0	0	0	0	0	0	0	373
2010/04	90	0	275	7	0	0	0	0	0	0	0	0	0	0	372
2010/03	90	0	275	7	0	0	0	0	0	0	0	0	0	0	372
2010/02	90	0	275	7	0	0	0	0	0	0	0	0	0	0	372
2010/01	90	0	275	7	0	0	0	0	0	0	0	0	0	0	372
2009/12	90	0	275	7	0	0	0	0	0	0	0	0	0	0	372
2009/11	90	0	275	7	0	0	0	0	0	0	0	0	0	0	372
2009/10	79	3	275	7	0	0	0	0	8	0	0	0	0	0	372
2009/09	79	3	275	7	0	0	0	0	8	0	0	0	0	0	372
2009/08	79	3	275	7	0	0	0	0	8	0	0	0	0	0	372
2009/07	79	3	275	7	0	0	0	0	8	0	0	0	0	0	372
2009/06	78	3	275	7	0	0	0	0	8	0	0	0	0	0	371
2009/05	78	3	275	7	0	0	0	0	8	0	0	0	0	0	371
2009/04	78	3	275	7	0	0	0	0	8	0	0	0	0	0	371
2009/03	78	3	259	7	0	0	0	0	8	0	0	0	0	0	355
2009/02	78	3	259	7	0	0	0	0	8	0	0	0	0	0	355
2009/01	77	3	259	7	0	0	0	0	8	0	0	0	0	0	354
2008/12	75	3	259	7	0	0	0	0	8	0	0	0	0	0	352
2008/11	74	3	259	7	0	0	0	0	8	0	0	0	0	0	351
2008/10	3	3	4	1	0	0	0	0	0	0	0	0	0	0	11
2008/09	2	3	3	1	0	0	0	0	0	0	0	0	0	0	9
2008/08	2	2	3	1	0	0	0	0	0	0	0	0	0	0	8
2008/07	1	0	3	1	0	0	0	0	0	0	0	0	0	0	5
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
