機関コード	14503
機関名称（日）	兵庫教育大学
機関名称（英）	Hyogo University of Teacher Education
設置種別	国立大学
機関規模	D

機関リポジトリ名称（日）	兵庫教育大学学術情報リポジトリ HEART
機関リポジトリ名称（英）	HEART:Hyokyo Educational Academic Resources for Teachers
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/51.gif
機関リポジトリへのリンク（日）	http://repository.hyogo-u.ac.jp/
機関リポジトリへのリンク（英）	http://repository.hyogo-u.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/51.gif
郵便番号	673-1494
住所	兵庫県加東市下久米942-1
使用ソフトウェア	DSpace
試験公開日	2007/04/16
本公開日	2008/03/11
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii 

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	100	842	1077	46	6	2	0	23	0	0	50	0	0	19	2165
2010/04	100	842	1077	46	6	2	0	23	0	0	50	0	0	19	2165
2010/03	100	842	1070	46	6	0	0	18	0	0	47	0	0	19	2148
2010/02	100	810	1068	0	6	0	0	18	0	0	46	0	0	18	2066
2010/01	85	641	1055	0	6	0	0	17	0	0	36	0	0	18	1858
2009/12	83	426	1055	0	6	0	0	17	0	0	36	0	0	17	1640
2009/11	83	426	1038	0	6	0	0	17	1	0	36	0	0	16	1623
2009/10	76	426	1038	0	6	0	0	17	1	0	36	0	0	16	1616
2009/09	76	427	1037	0	6	0	0	17	1	0	36	0	0	16	1616
2009/08	76	379	1028	0	6	0	0	17	1	0	36	0	0	16	1559
2009/07	76	379	962	0	6	0	0	17	1	0	36	0	0	16	1493
2009/06	76	379	962	0	3	0	0	17	1	0	36	0	0	15	1489
2009/05	76	379	962	0	3	0	0	16	1	0	36	0	0	14	1487
2009/04	76	379	962	0	3	0	0	16	1	0	36	0	0	12	1485
2009/03	75	379	962	0	3	0	0	16	1	0	36	0	0	10	1482
2009/02	75	365	962	0	3	0	0	16	1	0	36	0	0	10	1468
2009/01	49	137	798	0	3	0	0	5	1	0	26	0	0	10	1029
2008/12	35	137	798	0	3	0	0	5	1	0	26	0	0	10	1015
2008/11	35	137	798	0	3	0	0	5	1	0	11	0	0	7	997
2008/10	35	137	799	0	3	0	0	5	1	0	11	0	0	7	998
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
