機関コード	17104
機関名称（日）	九州工業大学
機関名称（英）	Kyushu Institute of Technology
設置種別	国立大学
機関規模	C

機関リポジトリ名称（日）	九州工業大学学術機関リポジトリ（Kyutacar）
機関リポジトリ名称（英）	Kyushu Institute of Technology of Academic Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/53.jpg
機関リポジトリへのリンク（日）	http://ds.lib.kyutech.ac.jp/dspace/
機関リポジトリへのリンク（英）	http://ds.lib.kyutech.ac.jp/dspace/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/53.jpg
郵便番号	804-8550
住所	福岡県北九州市戸畑区仙水町1-1
使用ソフトウェア	DSpace
試験公開日	2007/12/07
本公開日	2008/03/03
備考（日）	九州工業大学の研究成果を蓄積し、公開する。主に学術雑誌掲載論文、学位論文、紀要論文、研究調査報告書等を収録。
備考（英）	

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	1010	345	1673	58	5	1	21	46	0	0	0	0	0	11	3170
2010/04	1005	344	1667	58	5	1	21	46	0	0	0	0	0	11	3158
2010/03	983	344	1667	58	5	1	20	46	0	0	0	0	0	11	3135
2010/02	929	592	1667	57	5	1	20	46	0	0	0	0	0	9	3326
2010/01	907	318	434	57	5	1	20	46	0	0	0	0	0	9	1797
2009/12	882	318	75	57	5	1	20	46	0	0	0	0	0	9	1413
2009/11	829	318	75	56	4	1	20	46	0	0	0	0	0	9	1358
2009/10	792	299	75	56	4	1	20	46	0	0	0	0	0	10	1303
2009/09	789	299	75	56	4	1	20	46	0	0	0	0	0	10	1300
2009/08	776	299	75	58	4	1	20	46	0	0	0	0	0	10	1289
2009/07	761	299	74	58	2	1	19	26	0	0	0	0	0	10	1250
2009/06	759	299	74	58	2	1	19	26	0	0	0	0	0	7	1245
2009/05	756	299	74	58	2	1	19	26	0	0	0	0	0	7	1242
2009/04	743	298	65	23	1	1	19	26	0	0	0	0	0	7	1183
2009/03	733	301	66	13	1	0	19	19	0	0	0	0	0	1	1153
2009/02	454	238	60	10	1	0	18	16	0	0	0	0	0	1	798
2009/01	435	238	60	10	1	0	18	16	0	0	0	0	0	2	780
2008/12	433	238	60	10	1	0	18	16	0	0	0	0	0	1	777
2008/11	405	238	60	10	1	0	18	16	0	0	0	0	0	1	749
2008/10	405	229	60	10	1	0	18	16	0	0	0	0	0	1	740
2008/09	404	212	60	10	1	0	18	16	0	0	0	0	0	0	721
2008/08	404	212	60	10	1	0	18	16	0	0	0	0	0	0	721
2008/07	404	212	60	10	1	0	18	16	0	0	0	0	0	0	721
2008/06	404	212	59	10	0	0	17	16	0	0	0	0	0	0	718
2008/05	404	212	54	10	0	0	17	16	0	0	0	0	0	0	713
2008/04	404	212	54	10	0	0	17	16	0	0	0	0	0	0	713
2008/03	385	210	12	10	0	0	4	16	0	0	0	0	0	0	637
2008/02	385	210	12	10	0	0	4	16	0	0	0	0	0	0	637
2008/01	385	210	12	10	0	0	4	16	0	0	0	0	0	0	637
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
