機関コード	16401
機関名称（日）	高知大学
機関名称（英）	Kochi University
設置種別	国立大学
機関規模	B

機関リポジトリ名称（日）	高知大学学術情報リポジトリ
機関リポジトリ名称（英）	Kochi University Digital Repository for Academic Resources
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/54.gif
機関リポジトリへのリンク（日）	https://ir.kochi-u.ac.jp/dspace/
機関リポジトリへのリンク（英）	https://ir.kochi-u.ac.jp/dspace/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/54.gif
郵便番号	780-8520
住所	高知市曙町２-５-１
使用ソフトウェア	DSpace
試験公開日	2007/12/27
本公開日	2008/03/24
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii 

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	837	4	2656	79	0	0	13	642	6	0	16	0	0	115	4368
2010/04	815	4	2656	0	0	0	13	604	6	0	16	0	0	85	4199
2010/03	800	4	2651	0	0	0	13	604	6	0	16	0	0	85	4179
2010/02	775	4	2533	0	0	0	13	599	6	0	16	0	0	85	4031
2010/01	755	4	2533	0	0	0	13	599	6	0	16	0	0	85	4011
2009/12	694	4	2527	0	0	0	13	596	10	0	16	0	0	85	3945
2009/11	567	4	2527	0	0	0	13	49	10	0	16	0	0	85	3271
2009/10	450	4	2527	0	0	0	13	10	10	0	16	0	0	124	3154
2009/09	0	4	0	0	0	0	12	10	2851	0	16	0	0	135	3028
2009/08	0	4	0	0	0	0	12	10	2724	0	16	0	0	135	2901
2009/07	0	4	0	0	0	0	12	10	2676	0	16	0	0	135	2853
2009/06	0	4	0	0	0	0	13	0	2638	0	16	0	0	64	2735
2009/05	0	4	0	0	0	0	13	0	1021	0	16	0	0	48	1102
2009/04	0	4	0	0	0	0	13	0	1012	0	16	0	0	48	1093
2009/03	0	4	0	0	0	0	13	0	984	0	16	0	0	46	1063
2009/02	0	4	0	0	0	0	0	0	427	0	16	0	0	46	493
2009/01	0	4	0	0	0	0	0	0	351	0	16	0	0	46	417
2008/12	0	4	0	0	0	0	0	0	351	0	16	0	0	46	417
2008/11	0	4	0	0	0	0	0	0	339	0	16	0	0	46	405
2008/10	0	4	0	0	0	0	0	0	336	0	16	0	0	46	402
2008/09	0	4	0	0	0	0	0	0	336	0	16	0	0	35	391
2008/08	0	4	0	0	0	0	0	0	330	0	16	0	0	32	382
2008/07	0	4	0	0	0	0	0	0	325	0	16	0	0	32	377
2008/06	0	4	0	0	0	0	0	0	275	0	16	0	0	11	306
2008/05	0	4	0	0	0	0	0	0	262	0	16	0	0	11	293
2008/04	0	4	0	0	0	0	0	0	262	0	16	0	0	11	293
2008/03	0	4	0	0	0	0	0	0	258	0	16	0	0	1	279
2008/02	0	0	0	0	0	0	0	0	253	0	0	0	0	1	254
2008/01	0	0	0	0	0	0	0	0	226	0	0	0	0	1	227
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
