機関コード	11601
機関名称（日）	福島大学
機関名称（英）	Fukushima University
設置種別	国立大学
機関規模	C

機関リポジトリ名称（日）	福島大学学術機関リポジトリ
機関リポジトリ名称（英）	Fukushima University Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/56.gif
機関リポジトリへのリンク（日）	http://ir.lib.fukushima-u.ac.jp/
機関リポジトリへのリンク（英）	http://ir.lib.fukushima-u.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/56.gif
郵便番号	960-1293
住所	福島県福島市金谷川１番地
使用ソフトウェア	DSpace
試験公開日	2007/12/10
本公開日	2008/03/03
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	4	1	2777	0	0	0	0	24	45	0	0	0	0	424	3275
2010/04	4	1	2771	0	0	0	0	24	45	0	0	0	0	424	3269
2010/03	4	1	2771	0	0	0	0	24	45	0	0	0	0	422	3267
2010/02	4	1	2738	0	0	0	0	21	30	0	0	0	0	422	3216
2010/01	2	1	2672	0	0	0	0	19	0	0	0	0	0	423	3117
2009/12	2	1	2541	0	0	0	0	19	0	0	0	0	0	163	2726
2009/11	2	1	2283	0	0	0	0	19	0	0	0	0	0	0	2305
2009/10	2	1	2146	0	0	0	0	19	0	0	0	0	0	0	2168
2009/09	1	1	2100	0	0	0	0	19	0	0	0	0	0	0	2121
2009/08	1	1	2085	0	0	0	0	19	0	0	0	0	0	0	2106
2009/07	1	1	1926	0	0	0	0	19	0	0	0	0	0	0	1947
2009/06	1	1	1926	0	0	0	0	19	0	0	0	0	0	0	1947
2009/05	1	1	1926	0	0	0	0	19	0	0	0	0	0	0	1947
2009/04	1	1	1926	0	0	0	0	19	0	0	0	0	0	0	1947
2009/03	1	1	1926	0	0	0	0	19	0	0	0	0	0	0	1947
2009/02	1	1	1926	0	0	0	0	10	0	0	0	0	0	0	1938
2009/01	1	1	1926	0	0	0	0	7	0	0	0	0	0	0	1935
2008/12	1	1	1435	0	0	0	0	5	0	0	0	0	0	0	1442
2008/11	0	0	833	0	0	0	0	5	0	0	0	0	0	0	838
2008/10	0	0	636	0	0	0	0	5	0	0	0	0	0	0	641
2008/09	0	0	537	0	0	0	0	5	0	0	0	0	0	0	542
2008/08	1	1	535	1	0	0	0	5	0	0	0	0	0	0	543
2008/07	1	1	535	1	0	0	0	5	0	0	0	0	0	0	543
2008/06	1	1	535	1	0	0	0	5	0	0	0	0	0	0	543
2008/05	1	1	535	1	0	0	0	5	0	0	0	0	0	0	543
2008/04	1	1	535	1	0	0	0	5	0	0	0	0	0	0	543
2008/03	1	1	524	1	0	0	0	5	0	0	0	0	0	0	532
2008/02	1	1	458	1	0	0	0	5	0	0	0	0	0	0	466
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
