機関コード	11401
機関名称（日）	秋田大学
機関名称（英）	Akita University
設置種別	国立大学
機関規模	C

機関リポジトリ名称（日）	秋田大学学術情報リポジトリ
機関リポジトリ名称（英）	Akita University Institutional Repository System
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/57.gif
機関リポジトリへのリンク（日）	http://air.lib.akita-u.ac.jp/dspace/
機関リポジトリへのリンク（英）	http://air.lib.akita-u.ac.jp/dspace/?locale=en
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/57.gif
郵便番号	010-8502
住所	秋田市手形学園町1-1
使用ソフトウェア	DSpace
試験公開日	2008/01/04
本公開日	2008/03/27
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2009/12	312	1	877	14	2	0	1	9	4	0	3	0	0	31	1254
2009/11	300	1	864	14	2	0	1	9	4	0	3	0	0	27	1225
2009/10	295	1	864	14	2	0	1	9	4	0	3	0	0	26	1219
2009/09	295	1	859	14	2	0	1	9	4	0	3	0	0	23	1211
2009/08	295	1	859	14	2	0	1	9	4	0	3	0	0	22	1210
2009/07	295	1	859	14	2	0	1	9	4	0	3	0	0	22	1210
2009/06	295	1	859	14	2	0	1	9	4	0	3	0	0	22	1210
2009/05	295	1	859	14	2	0	1	9	4	0	3	0	0	22	1210
2009/04	295	1	859	14	2	0	1	9	4	0	3	0	0	22	1210
2009/03	295	1	859	14	2	0	1	9	4	0	3	0	0	22	1210
2009/02	295	1	856	14	2	0	1	9	4	0	3	0	0	22	1207
2009/01	294	1	841	14	2	0	1	8	4	0	3	0	0	22	1190
2008/12	258	1	836	10	2	0	1	8	4	0	3	0	0	15	1138
2008/11	248	1	794	10	2	0	1	8	4	0	3	0	0	15	1086
2008/10	201	1	676	10	2	0	1	8	4	0	3	0	0	12	918
2008/09	159	1	648	10	2	0	0	8	4	0	3	0	0	12	847
2008/08	155	1	595	9	2	0	0	8	3	0	3	0	0	12	788
2008/07	153	1	537	9	2	0	0	8	3	0	3	0	0	12	728
2008/06	143	1	495	8	1	0	0	7	0	0	3	0	0	10	668
2008/05	126	1	454	8	1	0	0	7	0	0	3	0	0	10	610
2008/04	124	1	445	8	1	0	0	7	0	0	3	0	0	10	599
2008/03	124	1	434	8	1	0	0	7	0	0	3	0	0	7	585
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
