機関コード	14602
機関名称（日）	奈良女子大学
機関名称（英）	Nara Women’s University
設置種別	国立大学
機関規模	C

機関リポジトリ名称（日）	奈良女子大学学術情報リポジトリ
機関リポジトリ名称（英）	Nara Women’s University Digital Information Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/58.gif
機関リポジトリへのリンク（日）	http://nwudir.lib.nara-wu.ac.jp/
機関リポジトリへのリンク（英）	http://nwudir.lib.nara-wu.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/58.gif
郵便番号	630-8506
住所	奈良県奈良市北魚屋西町
使用ソフトウェア	DSpace
試験公開日	2007/03/30
本公開日	2008/03/04
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/01	51	27	251	2	1	5	0	182	5	1	0	0	0	353	878
2009/12	39	12	251	1	1	5	0	134	3	1	0	0	0	240	687
2009/11	57	11	227	3	1	10	0	103	11	1	0	0	0	132	556
2009/10	26	6	216	3	0	5	0	102	8	1	0	0	0	130	497
2009/09	26	6	216	3	0	5	0	102	8	1	0	0	0	122	489
2009/08	26	6	216	3	0	5	0	102	8	0	0	0	0	122	488
2009/07	26	6	214	3	0	5	0	102	6	0	0	0	0	122	484
2009/06	24	6	208	3	0	5	0	102	4	0	0	0	0	116	468
2009/05	24	6	204	3	0	5	0	98	4	0	0	0	0	116	460
2009/04	14	1	9	0	0	5	0	11	4	0	0	0	0	17	61
2009/03	14	1	8	0	0	5	0	9	4	0	0	0	0	16	57
2009/02	5	1	3	2	0	1	0	5	0	0	0	0	0	0	17
2009/01	2	0	0	1	0	0	0	3	0	0	0	0	0	0	6
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
