機関コード	17501
機関名称（日）	大分大学
機関名称（英）	Oita University
設置種別	国立大学
機関規模	C

機関リポジトリ名称（日）	大分大学学術情報リポジトリ
機関リポジトリ名称（英）	Oita University Institutional Repository : OUR
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/59.gif
機関リポジトリへのリンク（日）	http://ir.lib.oita-u.ac.jp/dspace/
機関リポジトリへのリンク（英）	http://ir.lib.oita-u.ac.jp/dspace/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/59.gif
郵便番号	870-1192
住所	大分県大分市大字旦野原700番地
使用ソフトウェア	DSpace
試験公開日	2007/05/15
本公開日	2008/03/17
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	530	53	1326	799	1	0	35	2	1	0	0	0	0	7343	10090
2011/10	530	53	1326	799	1	0	35	2	1	0	0	0	0	7343	10090
2011/09	529	52	1323	799	1	0	35	2	1	0	0	0	0	7343	10085
2011/08	529	52	1313	799	1	0	35	2	1	0	0	0	0	7343	10075
2011/07	529	52	1313	799	1	0	35	2	1	0	0	0	0	7343	10075
2011/06	529	49	1313	799	1	0	35	2	1	0	0	0	0	7343	10072
2011/05	529	49	1313	799	1	0	35	2	1	0	0	0	0	7343	10072
2011/04	529	49	1282	799	1	0	35	2	1	0	0	0	0	7343	10041
2011/03	526	49	1267	799	1	0	35	2	1	0	0	0	0	7343	10023
2011/02	526	49	1267	799	1	0	35	2	1	0	0	0	0	7343	10023
2011/01	525	48	1256	799	1	0	35	2	1	0	0	0	0	7343	10010
2010/12	525	48	1246	798	1	0	35	2	1	0	0	0	0	7343	9999
2010/11	520	48	1246	798	1	0	35	2	1	0	0	0	0	7326	9977
2010/10	520	35	1232	798	1	0	34	2	1	0	0	0	0	7326	9949
2010/09	518	35	1231	796	0	0	21	2	1	0	0	0	0	7326	9930
2010/08	518	35	1231	796	0	0	21	2	1	0	0	0	0	7326	9930
2010/07	518	35	1212	796	0	0	21	2	1	0	0	0	0	7326	9911
2010/06	517	35	1211	796	0	0	21	2	1	0	0	0	0	7326	9909
2010/05	517	35	1190	796	0	0	0	2	1	0	0	0	0	7326	9867
2010/04	517	35	1190	796	0	0	0	2	1	0	0	0	0	7326	9867
2010/03	517	35	1190	796	0	0	0	2	1	0	0	0	0	7326	9867
2010/02	517	70	1190	796	0	0	0	2	1	0	0	0	0	7326	9902
2010/01	517	70	1179	796	0	0	0	2	1	0	0	0	0	7326	9891
2009/12	514	70	1179	495	0	0	0	2	1	0	0	0	0	7326	9587
2009/11	497	70	1175	401	0	0	0	2	1	0	0	0	0	7326	9472
2009/10	462	72	1165	326	0	0	0	1	1	0	0	0	0	7434	9461
2009/09	234	72	1161	276	0	0	0	1	1	0	0	0	0	7434	9179
2009/08	106	72	1157	75	0	0	0	1	0	0	0	0	0	7434	8845
2009/07	32	72	1154	3	0	0	0	1	0	0	0	0	0	7434	8696
2009/06	32	72	1149	3	0	0	0	1	0	0	0	0	0	7434	8691
2009/05	31	72	1144	3	0	0	0	0	0	0	0	0	0	7434	8684
2009/04	31	71	1120	3	0	0	0	0	0	0	0	0	0	7434	8659
2009/03	30	71	1104	3	0	0	0	0	0	0	0	0	0	7434	8642
2009/02	30	71	1082	3	0	0	0	0	0	0	0	0	0	7434	8620
2009/01	29	71	1072	3	0	0	0	0	0	0	0	0	0	7434	8609
2008/12	29	71	1072	3	0	0	0	0	0	0	0	0	0	7434	8609
2008/11	28	71	1072	3	0	0	0	0	0	0	0	0	0	7434	8608
2008/10	28	71	1067	3	0	0	0	0	0	0	0	0	0	7434	8603
2008/09	27	71	1064	3	0	0	0	0	0	0	0	0	0	7434	8599
2008/08	27	71	1061	3	0	0	0	0	0	0	0	0	0	7434	8596
2008/07	27	71	1061	3	0	0	0	0	0	0	0	0	0	7434	8596
2008/06	27	71	1056	3	0	0	0	0	0	0	0	0	0	7434	8591
2008/05	27	71	1038	3	0	0	0	0	0	0	0	0	0	7434	8573
2008/04	26	71	1038	3	0	0	0	0	0	0	0	0	0	7434	8572
2008/03	26	71	1038	3	0	0	0	0	0	0	0	0	0	7434	8572
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
