機関コード	14101
機関名称（日）	三重大学
機関名称（英）	Mie University
設置種別	国立大学
機関規模	B

機関リポジトリ名称（日）	三重大学学術機関リポジトリ研究成果コレクション
機関リポジトリ名称（英）	MIUSE (Mie University Scholarly E-collections)
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/5.jpg
機関リポジトリへのリンク（日）	http://miuse.mie-u.ac.jp/
機関リポジトリへのリンク（英）	http://miuse.mie-u.ac.jp/?locale=en
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/5.gif
郵便番号	514-8507
住所	三重県津市栗真町屋町１５７７
使用ソフトウェア	DSpace
試験公開日	2006/11/15
本公開日	2007/03/29
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	670	672	2523	221	34	15	0	226	12	0	124	0	0	1326	5823
2011/10	667	669	2384	221	34	15	0	226	12	0	124	0	0	1340	5692
2011/09	663	668	2384	221	34	15	0	226	12	0	124	0	0	1340	5687
2011/08	663	667	2384	220	34	14	0	226	12	0	124	0	0	1340	5684
2011/07	653	667	2384	220	34	5	0	226	12	0	124	0	0	1339	5664
2011/06	653	667	2385	220	33	5	0	226	11	0	124	0	0	1339	5663
2011/05	653	667	2379	220	33	5	0	226	11	0	124	0	0	1336	5654
2011/04	653	667	2368	220	33	5	0	226	11	0	124	0	0	1334	5641
2011/03	653	667	2361	220	33	5	0	226	11	0	124	0	0	1330	5630
2011/02	653	667	2361	220	33	5	0	226	11	0	124	0	0	1330	5630
2011/01	653	667	2303	220	33	5	0	226	11	0	124	0	0	1289	5531
2010/12	652	667	2303	220	33	5	0	226	11	0	124	0	0	1289	5530
2010/11	652	667	2303	220	33	5	0	225	11	0	124	0	0	1289	5529
2010/10	652	667	2303	220	33	5	0	225	11	0	124	0	0	1289	5529
2010/09	652	667	2303	220	33	5	0	225	11	0	123	0	0	1288	5527
2010/08	652	667	2296	220	33	5	0	225	11	0	123	0	0	1283	5515
2010/07	651	667	2258	220	33	5	0	225	11	0	123	0	0	1262	5455
2010/06	618	667	2216	216	32	5	0	225	11	0	117	0	0	1241	5348
2010/05	591	667	2215	214	29	4	0	222	8	0	117	0	0	1241	5308
2010/04	574	667	2185	210	29	4	0	222	8	0	117	0	0	1215	5231
2010/03	578	480	2116	210	27	4	0	69	8	0	117	0	0	1188	4797
2010/02	500	480	2115	210	26	4	0	67	8	0	117	0	0	1188	4715
2010/01	464	475	2113	198	26	3	0	65	8	0	117	0	0	1188	4657
2009/12	437	475	2113	198	25	3	0	64	8	0	116	0	0	1188	4627
2009/11	427	475	2113	189	25	3	0	64	8	0	116	0	0	1186	4606
2009/10	421	485	2101	155	24	3	0	62	8	0	115	0	0	1178	4552
2009/09	418	485	2087	154	22	3	0	62	8	0	109	0	0	1173	4521
2009/08	415	485	2087	154	22	3	0	62	8	0	109	0	0	1173	4518
2009/07	415	485	2087	154	22	3	0	62	8	0	108	0	0	1173	4517
2009/06	411	485	2068	154	21	3	0	62	8	0	105	0	0	1401	4718
2009/05	399	485	2068	154	21	3	0	62	8	0	101	0	0	1401	4702
2009/04	394	481	2066	153	21	3	0	62	8	0	91	0	0	1295	4574
2009/03	387	257	1696	153	21	3	0	49	8	0	88	0	0	1121	3783
2009/02	387	257	1696	153	21	3	0	49	8	0	88	0	0	1121	3783
2009/01	384	257	1693	153	21	3	0	49	7	0	88	0	0	1107	3762
2008/12	377	257	1659	149	21	3	0	42	7	0	88	0	0	1107	3710
2008/11	377	257	1645	141	21	2	0	39	7	0	84	0	0	1105	3678
2008/10	370	257	1184	141	21	2	0	33	6	0	79	0	0	1098	3191
2008/09	366	257	1162	141	21	2	0	25	6	0	79	0	0	1086	3145
2008/08	772	257	3398	588	19	13	0	32	6	0	79	0	0	1214	6378
2008/07	772	257	3389	588	19	13	0	32	6	0	79	0	0	1209	6364
2008/06	250	1	1164	182	5	8	0	9	5	0	41	0	0	464	2129
2008/05	809	2	3381	583	20	13	0	28	6	0	69	0	0	1227	6138
2008/04	809	2	3332	583	20	12	0	28	6	0	61	0	0	1190	6043
2008/03	803	2	3303	582	20	12	0	28	6	0	57	0	0	1159	5972
2008/02	676	2	2943	518	20	11	0	27	6	0	57	0	0	961	5221
2008/01	645	3	2894	424	20	11	0	27	6	0	57	0	0	926	5013
2007/12	626	3	2860	391	20	11	0	27	6	0	55	0	0	905	4904
2007/11	576	2	2807	384	20	11	0	11	5	0	53	0	0	843	4712
2007/10	539	2	2632	368	18	11	0	8	5	0	53	0	0	770	4406
2007/09	569	2	2564	350	21	11	0	4	5	0	50	0	0	757	4333
2007/08	459	2	2591	134	18	11	0	3	5	0	50	0	0	755	4028
2007/07	496	2	2510	83	18	11	0	4	4	0	50	0	0	742	3920
2007/06	489	1	434	45	15	0	0	3	4	0	33	0	0	40	1064
2007/05	353	1	183	39	14	0	0	2	4	0	1	0	0	37	634
2007/04	247	1	111	39	14	0	0	2	4	0	0	0	0	37	455
