機関コード	14303
機関名称（日）	京都工芸繊維大学
機関名称（英）	Kyoto Institute of Technology
設置種別	国立大学
機関規模	D

機関リポジトリ名称（日）	ＫＩＴ学術成果コレクション
機関リポジトリ名称（英）	KIT Academic Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/60.jpg
機関リポジトリへのリンク（日）	http://repository.lib.kit.ac.jp/dspace/index.jsp
機関リポジトリへのリンク（英）	http://repository.lib.kit.ac.jp/dspace/index.jsp
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/60.jpg
郵便番号	606-8585
住所	京都府京都市左京区松ヶ崎橋上町１番地
使用ソフトウェア	DSpace
試験公開日	2007/03/27
本公開日	2008/03/31
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	191	42	0	11	1	0	0	16	11	0	0	0	0	480	752
2011/10	191	42	0	11	1	0	0	16	11	0	0	0	0	480	752
2011/09	191	42	0	11	1	0	0	16	11	0	0	0	0	480	752
2011/08	191	16	0	11	1	0	0	16	11	0	0	0	0	480	726
2011/07	191	16	0	11	1	0	0	16	11	0	0	0	0	479	725
2011/06	190	16	0	11	1	0	0	16	11	0	0	0	0	479	724
2011/05	188	15	0	11	1	0	0	16	11	0	0	0	0	479	721
2011/04	187	15	0	11	1	0	0	16	11	0	0	0	0	479	720
2011/03	186	14	0	11	1	0	0	16	10	0	0	0	0	479	717
2011/02	186	14	0	11	1	0	0	16	10	0	0	0	0	479	717
2011/01	186	14	0	11	1	0	0	16	10	0	0	0	0	479	717
2010/12	186	14	0	11	1	0	0	16	10	0	0	0	0	479	717
2010/11	181	14	0	11	1	0	0	16	10	0	0	0	0	477	710
2010/10	180	14	0	11	1	0	0	16	10	0	0	0	0	477	709
2010/09	180	13	0	11	1	0	0	16	10	0	0	0	0	477	708
2010/08	180	13	0	11	1	0	0	16	10	0	0	0	0	477	708
2010/07	179	13	0	11	1	0	0	16	10	0	0	0	0	476	706
2010/06	179	13	0	11	1	0	0	16	10	0	0	0	0	476	706
2010/05	178	13	0	11	1	0	0	16	10	0	0	0	0	475	704
2010/04	176	13	0	11	1	0	0	16	10	0	0	0	0	474	701
2010/03	167	13	0	11	1	0	0	16	10	0	0	0	0	474	692
2010/02	165	13	0	11	1	0	0	15	10	0	0	0	0	474	689
2010/01	165	13	0	11	1	0	0	11	10	0	0	0	0	474	685
2009/12	165	13	0	11	1	0	0	11	10	0	0	0	0	474	685
2009/11	165	13	0	11	1	0	0	5	9	0	0	0	0	475	679
2009/10	165	13	0	11	1	0	0	5	9	0	0	0	0	475	679
2009/09	165	11	0	11	1	0	0	5	9	0	0	0	0	475	677
2009/08	156	11	0	11	1	0	0	5	9	0	0	0	0	474	667
2009/07	152	11	0	11	1	0	0	5	9	0	0	0	0	473	662
2009/06	145	11	0	11	0	0	0	5	9	0	0	0	0	473	654
2009/05	134	10	0	11	0	0	0	5	9	0	0	0	0	473	642
2009/04	134	10	0	11	0	0	0	5	9	0	0	0	0	473	642
2009/03	121	10	0	11	0	0	0	2	9	0	0	0	0	459	612
2009/02	104	9	0	10	0	0	0	2	9	0	0	0	0	458	592
2009/01	105	9	0	9	0	0	0	2	9	0	0	0	0	458	592
2008/12	105	9	0	9	0	0	0	2	9	0	0	0	0	458	592
2008/11	77	9	0	9	0	0	0	2	9	0	0	0	0	458	564
2008/10	77	9	0	9	0	0	0	2	9	0	0	0	0	457	563
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
