機関コード	13801
機関名称（日）	静岡大学
機関名称（英）	Shizuoka University
設置種別	国立大学
機関規模	B

機関リポジトリ名称（日）	静岡大学学術リポジトリ
機関リポジトリ名称（英）	Shizuoka University REpository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/62.gif
機関リポジトリへのリンク（日）	http://ir.lib.shizuoka.ac.jp/
機関リポジトリへのリンク（英）	http://ir.lib.shizuoka.ac.jp/?locale=en
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/62.jpg
郵便番号	422-8529
住所	静岡市駿河区大谷836
使用ソフトウェア	DSpace
試験公開日	2008/02/29
本公開日	2008/04/01
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	1661	193	1784	52	1	27	25	153	10	1	3	0	0	404	4314
2010/04	1636	193	1739	52	1	18	25	153	10	1	3	0	0	404	4235
2010/03	1633	193	1675	52	1	18	25	153	10	1	3	0	0	404	4168
2010/02	1576	192	1657	52	1	18	25	153	10	1	2	0	0	404	4091
2010/01	1214	191	1651	52	1	18	25	82	10	1	2	0	0	404	3651
2009/12	1080	190	1565	52	1	18	41	82	10	1	2	0	0	404	3446
2009/11	1034	190	1504	53	1	18	75	82	10	0	2	0	0	404	3373
2009/10	970	190	1458	84	11	18	64	85	8	0	2	0	0	404	3294
2009/09	945	189	1435	84	11	18	64	85	8	0	2	0	0	404	3245
2009/08	972	188	1433	14	14	17	64	85	8	0	2	0	0	404	3201
2009/07	936	187	1403	14	14	17	64	83	0	0	2	0	0	404	3124
2009/06	900	183	1374	14	14	16	64	83	0	0	2	0	0	404	3054
2009/05	846	162	1297	14	14	16	64	83	0	0	2	0	0	404	2902
2009/04	803	127	1286	14	14	16	51	81	0	0	2	0	0	404	2798
2009/03	791	80	1250	13	14	16	51	68	0	0	1	0	0	404	2688
2009/02	799	0	1216	13	14	16	4	60	0	0	1	0	0	404	2527
2009/01	799	0	1187	13	14	16	4	8	0	0	1	0	0	404	2446
2008/12	795	0	1158	12	13	16	4	8	0	0	1	0	0	404	2411
2008/11	793	0	1084	12	13	16	0	5	0	0	1	0	0	404	2328
2008/10	708	0	1059	12	13	16	0	5	0	0	1	0	0	404	2218
2008/09	668	0	1043	1	13	14	0	5	0	0	1	0	0	404	2149
2008/08	651	0	1037	0	13	14	0	5	0	0	1	0	0	404	2125
2008/07	640	0	1021	0	13	14	0	5	0	0	1	0	0	404	2098
2008/06	504	0	1008	0	13	13	0	3	0	0	1	0	0	390	1932
2008/05	477	0	908	0	13	13	0	3	0	0	1	0	0	390	1805
2008/04	175	0	1278	1	13	12	0	0	6	0	0	0	0	0	1485
2008/03	164	0	733	1	12	11	0	0	6	0	0	0	0	0	927
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
