機関コード	12201
機関名称（日）	宇都宮大学
機関名称（英）	Utsunomiya University
設置種別	国立大学
機関規模	C

機関リポジトリ名称（日）	宇都宮大学学術情報リポジトリ
機関リポジトリ名称（英）	Utsunomiya University Academic Information Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/63.gif
機関リポジトリへのリンク（日）	http://uuair.lib.utsunomiya-u.ac.jp/
機関リポジトリへのリンク（英）	http://uuair.lib.utsunomiya-u.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/63.gif
郵便番号	321-8505
住所	栃木県宇都宮市峰町350
使用ソフトウェア	DSpace
試験公開日	
本公開日	2008/04/01
備考（日）	
備考（英）	

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	8	34	1545	1	0	16	0	53	0	0	0	0	0	3094	4751
2011/10	8	34	1505	1	0	16	0	53	0	0	0	0	0	3086	4703
2011/09	8	34	1505	1	0	16	0	53	0	0	0	0	0	3086	4703
2011/08	8	34	1505	1	0	16	0	53	0	0	0	0	0	3086	4703
2011/07	8	34	1505	1	0	16	0	53	0	0	0	0	0	3086	4703
2011/06	7	34	1464	1	0	16	0	53	0	0	0	0	0	3064	4639
2011/05	7	34	1437	1	0	16	0	52	0	0	0	0	0	3064	4611
2011/04	7	34	1419	1	0	16	0	52	0	0	0	0	0	3054	4583
2011/03	7	34	1419	1	0	16	0	52	0	0	0	0	0	3054	4583
2011/02	7	34	1419	1	0	16	0	52	0	0	0	0	0	3054	4583
2011/01	7	34	1419	1	0	16	0	52	0	0	0	0	0	3054	4583
2010/12	7	34	1419	1	0	16	0	52	0	0	0	0	0	3054	4583
2010/11	66	34	984	1	0	19	0	41	0	0	0	0	0	2839	3984
2010/10	66	34	984	1	0	19	0	41	0	0	0	0	0	2839	3984
2010/09	66	34	984	1	0	19	0	24	0	0	0	0	0	2839	3967
2010/08	66	34	984	1	0	19	0	25	0	0	0	0	0	2839	3968
2010/07	66	34	984	1	0	19	0	25	0	0	0	0	0	2839	3968
2010/06	66	34	983	1	0	19	0	24	0	0	0	0	0	2839	3966
2010/05	66	34	950	1	0	92	0	15	0	0	0	0	0	2808	3966
2010/04	66	34	950	1	0	18	0	15	0	0	0	0	0	2806	3890
2010/03	66	34	965	1	0	0	0	16	0	0	0	0	0	2807	3889
2010/02	66	38	965	1	0	0	0	16	0	0	0	0	0	2806	3892
2010/01	66	38	965	1	0	0	0	16	0	0	0	0	0	2792	3878
2009/12	66	38	1046	1	0	0	0	16	0	0	0	0	0	2760	3927
2009/11	66	38	998	1	0	0	0	16	0	0	0	0	0	2759	3878
2009/10	66	38	986	1	0	0	0	16	0	0	0	0	0	2759	3866
2009/09	65	38	986	1	0	0	0	16	0	0	0	0	0	2759	3865
2009/08	65	38	986	1	0	0	0	16	0	0	0	0	0	2758	3864
2009/07	65	38	986	1	0	0	0	16	0	0	0	0	0	2758	3864
2009/06	65	38	987	1	0	0	0	16	0	0	0	0	0	2758	3865
2009/05	65	38	987	1	0	0	0	16	0	0	0	0	0	2758	3865
2009/04	1	0	527	0	0	0	0	7	0	0	0	0	0	353	888
2009/03	1	0	131	0	0	0	0	7	0	0	0	0	0	42	181
2009/02	1	0	126	0	0	0	0	7	0	0	0	0	0	38	172
2009/01	1	0	122	0	0	0	0	0	0	0	0	0	0	12	135
2008/12	1	0	117	0	0	0	0	0	0	0	0	0	0	4	122
2008/11	1	0	91	0	0	0	0	0	0	0	0	0	0	3	95
2008/10	1	0	59	0	0	0	0	0	0	0	0	0	0	3	63
2008/09	0	0	58	0	0	0	0	0	0	0	0	0	0	0	58
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
