機関コード	32682
機関名称（日）	明治大学
機関名称（英）	Meiji University
設置種別	私立大学
機関規模	A

機関リポジトリ名称（日）	明治大学学術成果リポジトリ
機関リポジトリ名称（英）	Meiji Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/64.gif
機関リポジトリへのリンク（日）	http://m-repo.lib.meiji.ac.jp/dspace/
機関リポジトリへのリンク（英）	http://m-repo.lib.meiji.ac.jp/dspace/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/64.gif
郵便番号	101-8301
住所	東京都千代田区神田駿河台 1-1
使用ソフトウェア	DSpace
試験公開日	
本公開日	2008/03/31
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/01	0	0	3903	0	2	0	0	0	0	1	0	0	0	0	3906
2009/12	0	0	3903	0	2	0	0	0	0	1	0	0	0	0	3906
2009/11	0	0	3903	0	2	0	0	0	0	1	0	0	0	0	3906
2009/10	0	0	3903	0	2	0	0	0	0	1	0	0	0	0	3906
2009/09	0	0	3903	0	2	0	0	0	0	1	0	0	0	0	3906
2009/08	0	0	3903	0	2	0	0	0	0	1	0	0	0	0	3906
2009/07	0	0	3903	0	2	0	0	0	0	1	0	0	0	0	3906
2009/06	0	0	3903	0	1	0	0	0	0	1	0	0	0	0	3905
2009/05	0	0	3902	0	1	0	0	0	0	1	0	0	0	0	3904
2009/04	0	0	3902	0	1	0	0	0	0	1	0	0	0	0	3904
2009/03	0	0	1231	0	1	0	0	0	0	0	0	0	0	0	1232
2009/02	0	0	933	0	1	0	0	0	0	0	0	0	0	0	934
2009/01	0	0	128	0	1	0	0	0	0	0	0	0	0	0	129
2008/12	0	0	128	0	0	0	0	0	0	0	0	0	0	0	128
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
