機関コード	34419
機関名称（日）	近畿大学
機関名称（英）	Kinki University
設置種別	私立大学
機関規模	A

機関リポジトリ名称（日）	近畿大学学術情報リポジトリ
機関リポジトリ名称（英）	Kinki University Academic Resource Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/65.gif
機関リポジトリへのリンク（日）	http://kurepo.clib.kindai.ac.jp/
機関リポジトリへのリンク（英）	
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/65.gif
郵便番号	577-8502
住所	大阪府東大阪市小若江3-4-1
使用ソフトウェア	XooNIps
試験公開日	2008/03/19
本公開日	2008/10/01
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2009/12	0	73	3679	0	5	0	0	0	0	0	0	0	0	284	4041
2009/11	0	73	3618	0	5	0	0	0	0	0	0	0	0	268	3964
2009/10	0	73	3609	0	5	0	0	0	0	0	0	0	0	266	3953
2009/09	0	73	3604	0	5	0	0	0	0	0	0	0	0	264	3946
2009/08	0	81	3585	0	3	0	0	0	0	0	0	0	0	262	3931
2009/07	0	81	3585	0	3	0	0	0	0	0	0	0	0	262	3931
2009/06	0	83	3573	0	3	0	0	0	0	0	0	0	0	259	3918
2009/05	0	86	1632	0	3	0	0	0	0	0	0	0	0	168	1889
2009/04	0	0	438	0	2	0	0	0	0	0	0	0	0	51	491
2009/03	0	0	419	0	2	0	0	0	0	0	0	0	0	49	470
2009/02	0	0	419	0	2	0	0	0	0	0	0	0	0	49	470
2009/01	0	0	419	0	2	0	0	0	0	0	0	0	0	49	470
2008/12	0	0	419	0	2	0	0	0	0	0	0	0	0	49	470
2008/11	0	0	419	0	2	0	0	0	0	0	0	0	0	49	470
2008/10	0	0	404	0	2	0	0	0	0	0	0	0	0	47	453
2008/09	0	0	381	0	0	0	0	0	0	0	0	0	0	41	422
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
