機関コード	32689
機関名称（日）	早稲田大学
機関名称（英）	Waseda University
設置種別	私立大学
機関規模	A

機関リポジトリ名称（日）	早稲田大学リポジトリ
機関リポジトリ名称（英）	DSpace@Waseda University
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/68.jpg
機関リポジトリへのリンク（日）	http://dspace.wul.waseda.ac.jp/dspace/index.jsp
機関リポジトリへのリンク（英）	http://dspace.wul.waseda.ac.jp/dspace/index.jsp
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/68.gif
郵便番号	169-8050
住所	東京都新宿区西早稲田1-6-1
使用ソフトウェア	DSpace
試験公開日	2005/04/19
本公開日	2005/11/28
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	283	1447	9178	810	14	4833	18	336	12	0	791	0	0	20	17742
2011/10	275	1447	8919	810	14	4832	18	96	12	0	791	0	0	20	17234
2011/09	275	1448	8867	773	14	4832	18	96	12	0	791	0	0	20	17146
2011/08	275	1448	8867	773	14	4831	18	96	12	0	791	0	0	20	17145
2011/07	274	1450	8867	773	14	4831	18	96	12	0	791	0	0	20	17146
2011/06	274	1449	8919	773	14	4831	18	96	12	0	791	0	0	20	17197
2011/05	273	1413	8847	773	14	4831	16	96	12	0	791	0	0	20	17086
2011/04	273	1413	8846	773	14	4831	16	96	12	0	791	0	0	20	17085
2011/03	271	1413	8065	771	14	4831	5	93	1	0	791	0	0	20	16275
2011/02	269	1413	8044	771	14	4831	5	93	1	0	791	0	0	20	16252
2011/01	269	1300	7891	771	14	4831	5	90	1	0	791	0	0	20	15983
2010/12	269	1300	7891	771	14	4831	4	90	1	0	791	0	0	20	15982
2010/11	266	1301	7888	770	14	4831	4	90	1	0	791	0	0	20	15976
2010/10	265	1301	7888	770	14	4831	4	90	1	0	791	0	0	20	15975
2010/09	260	1301	7888	769	14	4831	4	88	1	0	791	0	0	20	15967
2010/08	256	1301	7770	769	14	4831	4	87	1	0	791	0	0	20	15844
2010/07	256	1301	7743	769	14	4831	4	87	1	0	791	0	0	20	15817
2010/06	254	1285	6870	769	14	4831	0	86	1	0	791	0	0	19	14920
2010/05	254	1285	6555	769	12	4831	0	84	1	0	791	0	0	19	14601
2010/04	254	1285	6504	769	12	4831	0	84	1	0	791	0	0	19	14550
2010/03	254	1286	6419	769	12	4831	0	84	1	0	791	0	0	19	14466
2010/02	254	1287	6073	769	12	4830	0	84	1	0	791	0	0	19	14120
2010/01	254	1289	5969	769	12	4830	0	84	1	0	791	0	0	19	14018
2009/12	248	1290	5946	769	12	4830	0	79	1	0	791	0	0	13	13979
2009/11	248	1290	5946	769	12	4830	0	79	1	0	791	0	0	13	13979
2009/10	248	1287	5935	769	12	4821	0	79	1	0	791	0	0	13	13956
2009/09	248	1287	5934	769	12	4821	0	79	1	0	791	0	0	13	13955
2009/08	248	1287	5934	606	12	4821	0	26	1	0	791	0	0	13	13739
2009/07	248	1287	5884	606	12	4821	0	26	1	0	791	0	0	13	13689
2009/06	248	1287	5872	606	10	4821	0	26	1	0	791	0	0	13	13675
2009/05	240	1287	5872	604	10	4821	0	26	1	0	791	0	0	13	13665
2009/04	240	1287	5838	604	10	4821	0	22	1	0	791	0	0	13	13627
2009/03	234	1287	5806	604	10	4821	0	22	1	0	791	0	0	9	13585
2009/02	234	866	5774	604	9	4821	0	22	1	0	791	0	0	9	13131
2009/01	234	866	5774	604	9	4821	0	22	1	0	791	0	0	9	13131
2008/12	234	866	5774	604	9	4821	0	22	0	0	791	0	0	9	13130
2008/11	234	866	5774	604	8	4821	0	22	0	0	791	0	0	8	13128
2008/10	234	866	5774	604	8	4821	0	22	0	0	791	0	0	8	13128
2008/09	234	866	5580	604	8	4821	0	22	0	0	182	0	0	8	12325
2008/08	230	866	5220	604	8	4195	0	22	0	0	182	0	0	8	11335
2008/07	230	866	5220	604	8	4195	0	22	0	0	182	0	0	8	11335
2008/06	230	866	5217	604	8	4195	0	22	0	0	182	0	0	8	11332
2008/05	230	866	5185	604	6	4192	0	22	0	0	182	0	0	8	11295
2008/04	230	865	5185	604	6	0	0	22	0	0	182	0	0	8	7102
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
