機関コード	14501
機関名称（日）	神戸大学
機関名称（英）	Kobe University
設置種別	国立大学
機関規模	A

機関リポジトリ名称（日）	神戸大学学術成果リポジトリKernel
機関リポジトリ名称（英）	Kobe University Repository Kernel
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/6.gif
機関リポジトリへのリンク（日）	http://www.lib.kobe-u.ac.jp/kernel/
機関リポジトリへのリンク（英）	http://www.lib.kobe-u.ac.jp/kernel/e_index.html
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/6.gif
郵便番号	657-8501
住所	神戸市灘区六甲台町2-1
使用ソフトウェア	InfoLib-DBR
試験公開日	2006/07/12
本公開日	2006/10/02
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	1316	719	11403	36	196	20	0	62	53	0	11	2	0	0	13818
2011/10	1260	703	11376	36	196	18	0	57	39	0	8	2	0	0	13695
2011/09	1240	679	11342	36	196	18	0	37	39	0	8	2	0	0	13597
2011/08	1214	665	11234	35	196	16	0	37	39	0	8	2	0	0	13446
2011/07	1181	655	11187	35	196	16	0	37	39	0	8	2	0	0	13356
2011/06	1129	635	11080	35	195	16	0	37	39	0	8	2	0	0	13176
2011/05	1104	628	10843	35	195	16	0	37	39	0	8	2	0	0	12907
2011/04	1076	626	10681	35	180	15	0	37	39	0	8	2	0	0	12699
2011/03	1043	616	10394	35	179	15	0	37	34	0	8	2	0	0	12363
2011/02	1041	615	10385	35	179	15	0	37	34	0	8	2	0	0	12351
2011/01	1027	608	10336	35	160	15	0	37	33	0	8	2	0	0	12261
2010/12	1019	607	10272	35	160	15	0	37	32	0	8	2	0	0	12187
2010/11	1007	602	10266	35	160	14	0	36	32	0	8	2	0	0	12162
2010/10	992	598	10090	35	160	14	0	36	32	0	8	2	0	0	11967
2010/09	983	595	9970	35	160	14	0	36	32	0	8	2	0	0	11835
2010/08	962	588	9865	35	160	14	0	35	32	0	8	2	0	0	11701
2010/07	961	583	9744	35	160	14	0	35	31	0	7	2	0	0	11572
2010/06	959	574	9594	35	160	14	0	33	31	0	7	2	0	0	11409
2010/05	945	562	9541	35	30	14	0	32	31	0	7	2	0	0	11199
2010/04	891	557	9396	35	30	14	0	32	31	0	7	2	0	0	10995
2010/03	849	546	9165	33	1	14	0	31	31	0	5	1	0	0	10676
2010/02	835	542	9014	33	1	14	0	31	29	0	5	1	0	0	10505
2010/01	829	536	8876	33	1	14	0	31	29	0	5	1	0	0	10355
2009/12	823	525	8513	33	1	14	0	31	29	0	5	1	0	0	9975
2009/11	809	515	8175	33	1	14	0	31	29	0	5	1	0	0	9613
2009/10	806	509	7793	33	1	14	0	30	29	0	0	1	0	0	9216
2009/09	769	500	7461	32	1	13	0	30	29	0	0	1	0	0	8836
2009/08	729	498	7218	29	1	13	0	30	29	0	0	1	0	0	8548
2009/07	684	483	6956	15	1	13	0	30	29	0	0	1	0	0	8212
2009/06	626	466	6828	15	1	13	0	31	29	0	0	1	0	0	8010
2009/05	547	451	6321	15	1	13	0	31	29	0	0	1	0	0	7409
2009/04	542	417	6126	15	0	13	0	31	29	0	0	1	0	0	7174
2009/03	538	399	6120	15	0	13	0	31	29	0	0	1	0	0	7146
2009/02	529	375	5937	15	0	13	0	31	29	0	0	1	0	0	6930
2009/01	520	367	5824	11	0	13	5	29	28	0	0	1	0	0	6798
2008/12	520	360	5804	11	0	13	5	29	28	0	0	1	0	0	6771
2008/11	519	331	5703	11	0	13	5	29	27	0	0	1	0	0	6639
2008/10	517	298	5700	11	0	13	5	29	20	0	0	1	0	0	6594
2008/09	511	290	5596	11	0	13	4	13	20	0	0	1	0	0	6459
2008/08	488	281	5509	11	0	13	2	13	19	0	0	1	0	0	6337
2008/07	474	259	5246	11	0	13	2	9	19	0	0	1	0	0	6034
2008/06	468	255	5138	11	0	11	1	9	19	0	0	1	0	0	5913
2008/05	441	200	4933	11	0	10	1	9	15	0	0	1	0	0	5621
2008/04	436	172	4931	11	0	9	1	9	15	0	0	1	0	0	5585
2008/03	436	132	4897	10	0	9	1	9	15	0	0	1	0	0	5510
2008/02	432	73	4577	10	0	2	1	9	8	0	0	0	0	0	5112
2008/01	432	73	4577	10	0	2	1	9	8	0	0	0	0	0	5112
2007/12	432	73	4577	10	0	2	1	9	8	0	0	0	0	0	5112
2007/11	431	73	4577	9	0	2	1	9	8	0	0	0	0	0	5110
2007/10	430	39	3504	9	0	2	1	7	8	0	0	0	0	0	4000
2007/09	437	29	3072	8	0	2	1	7	8	0	0	0	0	0	3564
2007/08	436	13	3052	8	0	2	1	5	8	0	0	0	0	0	3525
2007/07	408	4	2912	8	0	2	1	5	8	0	0	0	0	0	3348
2007/06	382	4	2521	8	0	2	1	5	7	0	0	0	0	0	2930
2007/05	335	4	1654	8	0	3	1	5	7	0	0	0	0	0	2017
2007/04	308	3	599	8	0	3	1	5	5	0	0	0	0	0	932
