機関コード	25405
機関名称（日）	尾道大学
機関名称（英）	Onomichi University
設置種別	公立大学
機関規模	C

機関リポジトリ名称（日）	広島県大学共同リポジトリ
機関リポジトリ名称（英）	Hiroshima Associated Repository Portal
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/69.gif
機関リポジトリへのリンク（日）	http://harp.lib.hiroshima-u.ac.jp/
機関リポジトリへのリンク（英）	http://harp.lib.hiroshima-u.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/69.gif
郵便番号	722-8506
住所	広島県尾道市久山田町1600
使用ソフトウェア	DSpace
試験公開日	
本公開日	2008/04/30
備考（日）	CiNii連携対象 
備考（英）	This IR cooperates with CiNii 

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	3	0	569	0	0	11	0	1	0	0	0	0	0	0	584
2010/04	3	0	569	0	0	11	0	1	0	0	0	0	0	0	584
2010/03	3	0	569	0	0	11	0	1	0	0	0	0	0	0	584
2010/02	3	0	569	0	0	11	0	1	0	0	0	0	0	0	584
2010/01	3	0	480	0	0	8	0	0	0	0	0	0	0	0	491
2009/12	3	0	418	0	0	8	0	0	0	0	0	0	0	0	429
2009/11	3	0	418	0	0	8	0	0	0	0	0	0	0	0	429
2009/10	3	0	414	0	0	8	0	0	0	0	0	0	0	0	425
2009/09	3	0	414	0	0	8	0	0	0	0	0	0	0	0	425
2009/08	3	0	414	0	0	8	0	0	0	0	0	0	0	0	425
2009/07	3	0	414	0	0	8	0	0	0	0	0	0	0	0	425
2009/06	3	0	414	0	0	8	0	0	0	0	0	0	0	0	425
2009/05	3	0	414	0	0	8	0	0	0	0	0	0	0	0	425
2009/04	3	0	414	0	0	8	0	0	0	0	0	0	0	0	425
2009/03	3	0	414	0	0	8	0	0	0	0	0	0	0	0	425
2009/02	3	0	414	0	0	8	0	0	0	0	0	0	0	0	425
2009/01	3	0	414	0	0	8	0	0	0	0	0	0	0	0	425
2008/12	3	0	157	0	0	8	0	0	0	0	0	0	0	0	168
2008/11	3	0	152	0	0	8	0	0	0	0	0	0	0	0	163
2008/10	3	0	3	0	0	8	0	0	0	0	0	0	0	0	14
2008/09	3	0	0	0	0	8	0	0	0	0	0	0	0	0	11
2008/08	3	0	0	0	0	8	0	0	0	0	0	0	0	0	11
2008/07	2	0	0	0	0	8	0	0	0	0	0	0	0	0	10
2008/06	2	0	0	0	0	8	0	0	0	0	0	0	0	0	10
2008/05	0	0	0	0	0	8	0	0	0	0	0	0	0	0	8
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
