機関コード	35412
機関名称（日）	広島文化学園大学
機関名称（英）	Hiroshima Bunka Gakuen　University
設置種別	私立大学
機関規模	C

機関リポジトリ名称（日）	広島県大学共同リポジトリ
機関リポジトリ名称（英）	Hiroshima Associated Repository Portal
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/70.gif
機関リポジトリへのリンク（日）	http://harp.lib.hiroshima-u.ac.jp/
機関リポジトリへのリンク（英）	http://harp.lib.hiroshima-u.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/70.gif
郵便番号	737-0182
住所	広島県呉市郷原学びの丘1丁目1番1号
使用ソフトウェア	DSpace
試験公開日	
本公開日	2008/04/30
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	55	0	151	0	0	0	0	4	0	0	0	0	0	0	210
2010/04	55	0	151	0	0	0	0	4	0	0	0	0	0	0	210
2010/03	55	0	151	0	0	0	0	4	0	0	0	0	0	0	210
2010/02	49	0	129	0	0	0	0	4	0	0	0	0	0	0	182
2010/01	34	0	128	0	0	0	0	4	0	0	0	0	0	0	166
2009/12	34	0	128	0	0	0	0	4	0	0	0	0	0	0	166
2009/11	34	0	128	0	0	0	0	4	0	0	0	0	0	0	166
2009/10	34	0	128	0	0	0	0	4	0	0	0	0	0	0	166
2009/09	34	0	128	0	0	0	0	4	0	0	0	0	0	0	166
2009/08	32	0	128	0	0	0	0	4	0	0	0	0	0	0	164
2009/07	0	0	128	0	0	0	0	0	0	0	0	0	0	0	128
2009/06	0	0	122	0	0	0	0	0	0	0	0	0	0	0	122
2009/05	0	0	122	0	0	0	0	0	0	0	0	0	0	0	122
2009/04	0	0	122	0	0	0	0	0	0	0	0	0	0	0	122
2009/03	0	0	122	0	0	0	0	0	0	0	0	0	0	0	122
2009/02	0	0	122	0	0	0	0	0	0	0	0	0	0	0	122
2009/01	0	0	27	0	0	0	0	0	0	0	0	0	0	0	27
2008/12	0	0	27	0	0	0	0	0	0	0	0	0	0	0	27
2008/11	0	0	27	0	0	0	0	0	0	0	0	0	0	0	27
2008/10	0	0	27	0	0	0	0	0	0	0	0	0	0	0	27
2008/09	0	0	27	0	0	0	0	0	0	0	0	0	0	0	27
2008/08	0	0	27	0	0	0	0	0	0	0	0	0	0	0	27
2008/07	0	0	27	0	0	0	0	0	0	0	0	0	0	0	27
2008/06	0	0	27	0	0	0	0	0	0	0	0	0	0	0	27
2008/05	0	0	27	0	0	0	0	0	0	0	0	0	0	0	27
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
