機関コード	35402
機関名称（日）	広島経済大学
機関名称（英）	Hiroshima University of Economics
設置種別	私立大学
機関規模	D

機関リポジトリ名称（日）	広島県大学共同リポジトリ
機関リポジトリ名称（英）	Hiroshima Associated Repository Portal
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/72.gif
機関リポジトリへのリンク（日）	http://harp.lib.hiroshima-u.ac.jp/
機関リポジトリへのリンク（英）	http://harp.lib.hiroshima-u.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/72.gif
郵便番号	731-0101
住所	広島市安佐南区祇園5-37-1
使用ソフトウェア	DSpace
試験公開日	
本公開日	2008/04/30
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii 

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2009/12	1	0	959	0	5	3	0	0	0	0	0	0	0	1	969
2009/11	0	0	949	0	5	3	0	0	0	0	0	0	0	1	958
2009/10	0	0	949	0	3	3	0	0	0	0	0	0	0	1	956
2009/09	0	0	939	0	2	3	0	0	0	0	0	0	0	0	944
2009/08	0	0	939	0	2	3	0	0	0	0	0	0	0	0	944
2009/07	0	0	939	0	2	3	0	0	0	0	0	0	0	0	944
2009/06	0	0	939	0	0	3	0	0	0	0	0	0	0	0	942
2009/05	0	0	939	0	0	3	0	0	0	0	0	0	0	0	942
2009/04	0	0	939	0	0	3	0	0	0	0	0	0	0	0	942
2009/03	0	0	897	0	0	3	0	0	0	0	0	0	0	0	900
2009/02	0	0	880	0	0	3	0	0	0	0	0	0	0	0	883
2009/01	0	0	730	0	0	3	0	0	0	0	0	0	0	0	733
2008/12	0	0	702	0	0	3	0	0	0	0	0	0	0	0	705
2008/11	0	0	93	0	0	3	0	0	0	0	0	0	0	0	96
2008/10	0	0	64	0	0	0	0	0	0	0	0	0	0	0	64
2008/09	0	0	64	0	0	0	0	0	0	0	0	0	0	0	64
2008/08	0	0	64	0	0	0	0	0	0	0	0	0	0	0	64
2008/07	0	0	64	0	0	0	0	0	0	0	0	0	0	0	64
2008/06	0	0	48	0	0	0	0	0	0	0	0	0	0	0	48
2008/05	0	0	40	0	0	0	0	0	0	0	0	0	0	0	40
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
