機関コード	35403
機関名称（日）	広島工業大学
機関名称（英）	Hiroshima Institute of Technology
設置種別	私立大学
機関規模	D

機関リポジトリ名称（日）	広島県大学共同リポジトリ
機関リポジトリ名称（英）	Hiroshima Associated Repository Portal
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/73.gif
機関リポジトリへのリンク（日）	http://harp.lib.hiroshima-u.ac.jp/
機関リポジトリへのリンク（英）	http://harp.lib.hiroshima-u.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/73.gif
郵便番号	731-5193
住所	広島市佐伯区三宅2-1-1
使用ソフトウェア	DSpace
試験公開日	
本公開日	2008/04/30
備考（日）	
備考（英）	

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2009/12	19	0	291	36	0	0	0	1	0	0	0	0	0	0	347
2009/11	19	0	291	36	0	0	0	1	0	0	0	0	0	0	347
2009/10	19	0	291	36	0	0	0	1	0	0	0	0	0	0	347
2009/09	19	0	291	36	0	0	0	1	0	0	0	0	0	0	347
2009/08	19	0	131	36	0	0	0	1	0	0	0	0	0	0	187
2009/07	19	0	131	36	0	0	0	1	0	0	0	0	0	0	187
2009/06	19	0	131	36	0	0	0	1	0	0	0	0	0	0	187
2009/05	18	0	128	37	0	0	0	1	0	0	0	0	0	0	184
2009/04	18	0	128	37	0	0	0	1	0	0	0	0	0	0	184
2009/03	14	0	128	37	0	0	0	1	0	0	0	0	0	0	180
2009/02	14	0	26	37	0	0	0	1	0	0	0	0	0	0	78
2009/01	13	0	25	37	0	0	0	1	0	0	0	0	0	0	76
2008/12	13	0	25	37	0	0	0	1	0	0	0	0	0	0	76
2008/11	13	0	25	29	0	0	0	1	0	0	0	0	0	0	68
2008/10	9	0	23	28	0	0	0	1	0	0	0	0	0	0	61
2008/09	9	0	23	28	0	0	0	1	0	0	0	0	0	0	61
2008/08	9	0	23	28	0	0	0	1	0	0	0	0	0	0	61
2008/07	8	0	23	27	0	0	0	1	0	0	0	0	0	0	59
2008/06	6	0	23	26	0	0	0	1	0	0	0	0	0	0	56
2008/05	6	0	23	25	0	0	0	1	0	0	0	0	0	0	55
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
