機関コード	35406
機関名称（日）	広島国際学院大学
機関名称（英）	Hiroshima kokusai gakuin university
設置種別	私立大学
機関規模	C

機関リポジトリ名称（日）	広島県大学共同リポジトリ
機関リポジトリ名称（英）	Hiroshima Associated  Repository Portal
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/74.gif
機関リポジトリへのリンク（日）	http://harp.lib.hiroshima-u.ac.jp/
機関リポジトリへのリンク（英）	http://harp.lib.hiroshima-u.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/74.gif
郵便番号	739-0321
住所	広島市安芸区中野六丁目20-1
使用ソフトウェア	DSpace
試験公開日	
本公開日	2008/04/30
備考（日）	
備考（英）	

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	0	0	98	0	0	0	0	0	0	0	0	0	0	0	98
2010/04	0	0	79	0	0	0	0	0	0	0	0	0	0	0	79
2010/03	0	0	79	0	0	0	0	0	0	0	0	0	0	0	79
2010/02	0	0	79	0	0	0	0	0	0	0	0	0	0	0	79
2010/01	0	0	79	0	0	0	0	0	0	0	0	0	0	0	79
2009/12	0	0	79	0	0	0	0	0	0	0	0	0	0	0	79
2009/11	0	0	79	0	0	0	0	0	0	0	0	0	0	0	79
2009/10	0	0	79	0	0	0	0	0	0	0	0	0	0	0	79
2009/09	0	0	79	0	0	0	0	0	0	0	0	0	0	0	79
2009/08	0	0	79	0	0	0	0	0	0	0	0	0	0	0	79
2009/07	0	0	79	0	0	0	0	0	0	0	0	0	0	0	79
2009/06	0	0	79	0	0	0	0	0	0	0	0	0	0	0	79
2009/05	0	0	79	0	0	0	0	0	0	0	0	0	0	0	79
2009/04	0	0	79	0	0	0	0	0	0	0	0	0	0	0	79
2009/03	0	0	79	0	0	0	0	0	0	0	0	0	0	0	79
2009/02	0	0	79	0	0	0	0	0	0	0	0	0	0	0	79
2009/01	0	0	78	0	0	0	0	0	0	0	0	0	0	0	78
2008/12	0	0	78	0	0	0	0	0	0	0	0	0	0	0	78
2008/11	0	0	78	0	0	0	0	0	0	0	0	0	0	0	78
2008/10	0	0	59	0	0	0	0	0	0	0	0	0	0	0	59
2008/09	0	0	41	0	0	0	0	0	0	0	0	0	0	0	41
2008/08	0	0	41	0	0	0	0	0	0	0	0	0	0	0	41
2008/07	0	0	37	0	0	0	0	0	0	0	0	0	0	0	37
2008/06	0	0	37	0	0	0	0	0	0	0	0	0	0	0	37
2008/05	0	0	27	0	0	0	0	0	0	0	0	0	0	0	27
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
