機関コード	35405
機関名称（日）	広島女学院大学
機関名称（英）	Universiry of Hiroshima Jogakuin
設置種別	私立大学
機関規模	C

機関リポジトリ名称（日）	広島県大学共同リポジトリ
機関リポジトリ名称（英）	Hiroshima Associated Repository Portal
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/76.gif
機関リポジトリへのリンク（日）	http://harp.lib.hiroshima-u.ac.jp/
機関リポジトリへのリンク（英）	http://harp.lib.hiroshima-u.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/76.gif
郵便番号	732－0063
住所	広島県広島市東区牛田東四丁目１３－１
使用ソフトウェア	DSpace
試験公開日	
本公開日	2008/04/30
備考（日）	
備考（英）	

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	2	48	400	0	0	8	0	0	0	0	0	0	0	0	458
2010/04	2	48	400	0	0	8	0	0	0	0	0	0	0	0	458
2010/03	2	48	400	0	0	8	0	0	0	0	0	0	0	0	458
2010/02	2	48	321	0	0	8	0	0	0	0	0	0	0	0	379
2010/01	2	48	256	0	0	6	0	0	0	0	0	0	0	0	312
2009/12	2	48	229	0	0	6	0	0	0	0	0	0	0	0	285
2009/11	2	48	130	0	0	6	0	0	0	0	0	0	0	0	186
2009/10	1	20	126	0	0	6	0	0	0	0	0	0	0	0	153
2009/09	1	20	126	0	0	6	0	0	0	0	0	0	0	0	153
2009/08	1	20	88	0	0	6	0	0	0	0	0	0	0	0	115
2009/07	1	20	88	0	0	6	0	0	0	0	0	0	0	0	115
2009/06	0	12	88	0	0	5	0	0	0	0	0	0	0	0	105
2009/05	0	9	68	0	0	5	0	0	0	0	0	0	0	0	82
2009/04	0	9	68	0	0	5	0	0	0	0	0	0	0	0	82
2009/03	0	9	68	0	0	3	0	0	0	0	0	0	0	0	80
2009/02	0	9	31	0	0	3	0	0	0	0	0	0	0	0	43
2009/01	0	9	31	0	0	3	0	0	0	0	0	0	0	0	43
2008/12	0	9	25	0	0	3	0	0	0	0	0	0	0	0	37
2008/11	0	9	25	0	0	3	0	0	0	0	0	0	0	0	37
2008/10	0	8	25	0	0	3	0	0	0	0	0	0	0	0	36
2008/09	0	6	25	0	0	3	0	0	0	0	0	0	0	0	34
2008/08	0	6	25	0	0	3	0	0	0	0	0	0	0	0	34
2008/07	0	0	25	0	0	3	0	0	0	0	0	0	0	0	28
2008/06	0	0	25	0	0	3	0	0	0	0	0	0	0	0	28
2008/05	0	0	21	0	0	3	0	0	0	0	0	0	0	0	24
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
