機関コード	35414
機関名称（日）	日本赤十字広島看護大学
機関名称（英）	The Japanese Red Cross Hiroshima College of Nursing 
設置種別	私立大学
機関規模	D

機関リポジトリ名称（日）	広島県大学共同リポジトリ
機関リポジトリ名称（英）	Hiroshima Associated Repository Portal
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/78.gif
機関リポジトリへのリンク（日）	http://harp.lib.hiroshima-u.ac.jp/
機関リポジトリへのリンク（英）	
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/78.gif
郵便番号	738-0052
住所	広島県廿日市市阿品台東1番2号
使用ソフトウェア	DSpace
試験公開日	
本公開日	2008/04/30
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	0	0	134	0	0	0	0	5	0	0	0	0	0	0	139
2011/10	0	0	134	0	0	0	0	5	0	0	0	0	0	0	139
2011/09	0	0	134	0	0	0	0	5	0	0	0	0	0	0	139
2011/08	0	0	134	0	0	0	0	5	0	0	0	0	0	0	139
2011/07	0	0	124	0	0	0	0	5	0	0	0	0	0	0	129
2011/06	0	0	124	0	0	0	0	5	0	0	0	0	0	0	129
2011/05	0	0	124	0	0	0	0	5	0	0	0	0	0	0	129
2011/04	0	0	124	0	0	0	0	5	0	0	0	0	0	0	129
2011/03	0	0	124	0	0	0	0	5	0	0	0	0	0	0	129
2011/02	0	0	124	0	0	0	0	5	0	0	0	0	0	0	129
2011/01	0	0	124	0	0	0	0	5	0	0	0	0	0	0	129
2010/12	0	0	124	0	0	0	0	5	0	0	0	0	0	0	129
2010/11	0	0	124	0	0	0	0	5	0	0	0	0	0	0	129
2010/10	0	0	124	0	0	0	0	5	0	0	0	0	0	0	129
2010/09	0	0	124	0	0	0	0	5	0	0	0	0	0	0	129
2010/08	0	0	124	0	0	0	0	5	0	0	0	0	0	0	129
2010/07	0	0	124	0	0	0	0	5	0	0	0	0	0	0	129
2010/06	0	0	124	0	0	0	0	5	0	0	0	0	0	0	129
2010/05	0	0	124	0	0	0	0	5	0	0	0	0	0	0	129
2010/04	0	0	109	0	0	0	0	5	0	0	0	0	0	0	114
2010/03	0	0	109	0	0	0	0	5	0	0	0	0	0	0	114
2010/02	0	0	109	0	0	0	0	5	0	0	0	0	0	0	114
2010/01	0	0	109	0	0	0	0	4	0	0	0	0	0	0	113
2009/12	0	0	109	0	0	0	0	4	0	0	0	0	0	0	113
2009/11	0	0	109	0	0	0	0	4	0	0	0	0	0	0	113
2009/10	0	0	109	0	0	0	0	4	0	0	0	0	0	0	113
2009/09	0	0	109	0	0	0	0	4	0	0	0	0	0	0	113
2009/08	0	0	109	0	0	0	0	4	0	0	0	0	0	0	113
2009/07	0	0	109	0	0	0	0	4	0	0	0	0	0	0	113
2009/06	0	0	109	0	0	0	0	4	0	0	0	0	0	0	113
2009/05	0	0	101	0	0	0	0	4	0	0	0	0	0	0	105
2009/04	0	0	100	0	0	0	0	4	0	0	0	0	0	0	104
2009/03	0	0	100	0	0	0	0	4	0	0	0	0	0	0	104
2009/02	0	0	100	0	0	0	0	4	0	0	0	0	0	0	104
2009/01	0	0	100	0	0	0	0	3	0	0	0	0	0	0	103
2008/12	0	0	100	0	0	0	0	3	0	0	0	0	0	0	103
2008/11	0	0	100	0	0	0	0	0	0	0	0	0	0	0	100
2008/10	0	0	100	0	0	0	0	0	0	0	0	0	0	0	100
2008/09	0	0	100	0	0	0	0	0	0	0	0	0	0	0	100
2008/08	0	0	100	0	0	0	0	0	0	0	0	0	0	0	100
2008/07	0	0	100	0	0	0	0	0	0	0	0	0	0	0	100
2008/06	0	0	100	0	0	0	0	0	0	0	0	0	0	0	100
2008/05	0	0	12	0	0	0	0	0	0	0	0	0	0	0	12
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
