機関コード	12501
機関名称（日）	千葉大学
機関名称（英）	Chiba University
設置種別	国立大学
機関規模	A

機関リポジトリ名称（日）	千葉大学学術成果リポジトリ
機関リポジトリ名称（英）	Chiba University Repository for Access to Outcomes from Research
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/7.gif
機関リポジトリへのリンク（日）	http://mitizane.ll.chiba-u.jp/curator/
機関リポジトリへのリンク（英）	http://mitizane.ll.chiba-u.jp/curator/index_e.html
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/7.gif
郵便番号	263-8522
住所	千葉市稲毛区弥生町1-33
使用ソフトウェア	独自システム（後に e-Repository として製品化）
試験公開日	
本公開日	2005/02/18
備考（日）	試験公開日は2003年5月。<BR>CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/01	14821	549	5165	22	88	30	35	1201	0	12	93	397	0	2187	24600
2009/12	14758	549	5165	22	88	30	35	1200	0	12	56	397	0	2142	24454
2009/11	14748	546	5165	22	88	30	35	1200	0	12	56	397	0	2139	24438
2009/10	14743	540	5165	22	88	30	35	1200	0	12	56	397	0	2139	24427
2009/09	14733	535	5142	22	88	30	35	1200	0	12	56	397	0	2131	24381
2009/08	14724	535	5142	22	88	30	35	1200	0	12	56	397	0	2126	24367
2009/07	14724	533	5135	22	78	30	35	1200	0	12	56	397	0	2125	24347
2009/06	14720	533	5338	23	78	29	45	1263	0	18	56	397	0	2113	24613
2009/05	14721	532	5311	23	78	29	45	1262	0	18	56	397	0	2110	24582
2009/04	14721	512	5311	17	78	29	45	1262	0	18	56	397	0	2110	24556
2009/03	14719	494	5283	16	77	29	45	1203	0	18	56	397	0	2100	24437
2009/02	12852	490	5268	15	77	29	45	1201	0	18	56	397	0	1319	21767
2009/01	12847	490	5239	15	77	29	45	1201	0	18	28	397	0	1310	21696
2008/12	12847	490	5239	15	77	29	45	1201	0	18	28	397	0	1309	21695
2008/11	12847	488	5239	15	77	29	45	1201	0	18	27	397	0	1308	21691
2008/10	12833	488	5225	14	74	29	45	1201	0	18	27	394	0	1285	21633
2008/09	12833	487	5196	14	74	29	45	1201	0	18	27	394	0	1282	21600
2008/08	12831	487	5184	14	73	29	45	1201	0	18	27	394	0	1282	21585
2008/07	12831	411	5183	14	73	29	45	1201	0	18	27	394	0	1229	21455
2008/06	12831	411	5152	14	73	29	45	1201	0	18	27	394	0	1133	21328
2008/05	12808	411	5038	13	65	28	45	1200	0	18	10	393	0	753	20782
2008/04	12808	407	4995	13	64	28	45	1157	0	18	10	393	0	749	20687
2008/03	12808	378	4973	13	64	28	45	1115	0	18	10	393	0	749	20594
2008/02	12801	331	4972	13	64	28	45	1115	0	18	10	393	0	742	20532
2008/01	12801	322	4972	13	64	28	45	1115	0	18	10	393	0	742	20523
2007/12	12149	322	4970	12	64	28	45	1115	0	18	10	393	0	740	19866
2007/11	8369	322	4814	11	60	28	45	1115	0	18	10	393	0	732	15917
2007/10	6582	321	4751	11	60	28	45	1115	0	18	10	393	0	722	14056
2007/09	6416	321	4773	11	59	28	45	1113	0	18	10	393	0	358	13545
2007/08	6153	321	4749	11	59	28	45	1113	0	18	10	393	0	312	13212
2007/07	5685	321	4725	10	57	28	45	1113	0	18	10	393	0	289	12694
2007/06	4071	321	4640	9	57	28	45	1087	0	18	10	393	0	230	10909
2007/05	3645	347	4500	9	60	46	37	1199	2	17	20	394	1	181	10458
2007/04	2499	316	4285	6	58	18	30	988	0	11	10	393	1	44	8659
