機関コード	13802
機関名称（日）	浜松医科大学
機関名称（英）	Hamamatsu University School of Medicine
設置種別	国立大学
機関規模	

機関リポジトリ名称（日）	浜松医科大学学術機関リポジトリ
機関リポジトリ名称（英）	HamaMed-Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/80.gif
機関リポジトリへのリンク（日）	http://hikumano.hama-med.ac.jp/dspace/
機関リポジトリへのリンク（英）	http://hikumano.hama-med.ac.jp/dspace/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/80.gif
郵便番号	431-3192
住所	静岡県浜松市東区半田山一丁目２０番１号
使用ソフトウェア	DSpace 1.4.2
試験公開日	2008/03/17
本公開日	2008/06/02
備考（日）	
備考（英）	

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/01	0	0	0	0	1	0	0	7	0	0	0	0	0	1758	1766
2009/12	0	0	0	0	1	0	0	7	0	0	0	0	0	1682	1690
2009/11	0	0	0	0	1	0	0	7	0	0	0	0	0	1594	1602
2009/10	0	0	0	0	1	0	0	7	0	0	0	0	0	779	787
2009/09	0	0	0	0	1	0	0	4	0	0	0	0	0	776	781
2009/08	0	0	0	0	1	0	0	0	0	0	0	0	0	768	769
2009/07	0	0	0	0	0	0	0	0	0	0	0	0	0	712	712
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	712	712
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	712	712
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	712	712
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	712	712
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	708	708
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	357	357
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	138	138
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	50	50
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	32	32
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	32	32
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	32	32
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	32	32
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	29	29
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
