機関コード	10106
機関名称（日）	北見工業大学
機関名称（英）	Kitami Institute of Technology
設置種別	国立大学
機関規模	D

機関リポジトリ名称（日）	北見工業大学学術機関リポジトリ　KIT-R
機関リポジトリ名称（英）	Kitami Institute of Technology Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/81.gif
機関リポジトリへのリンク（日）	http://kitir.lib.kitami-it.ac.jp/
機関リポジトリへのリンク（英）	http://kitir.lib.kitami-it.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/81.gif
郵便番号	090-8507
住所	北海道北見市公園町165
使用ソフトウェア	DSpace　1.2.3
試験公開日	2007/05/10
本公開日	2007/06/18
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2009/12	216	137	683	0	1	0	1	0	0	0	0	0	0	2	1040
2009/11	216	137	683	0	1	0	1	0	0	0	0	0	0	2	1040
2009/10	216	137	683	0	1	0	1	0	0	0	0	0	0	2	1040
2009/09	216	137	683	0	1	0	1	0	0	0	0	0	0	2	1040
2009/08	216	137	683	0	1	0	1	0	0	0	0	0	0	2	1040
2009/07	216	137	682	0	1	0	1	0	0	0	0	0	0	2	1039
2009/06	215	134	682	0	1	0	1	0	0	0	0	0	0	1	1034
2009/05	177	129	682	0	1	0	1	0	0	0	0	0	0	1	991
2009/04	177	124	682	0	1	0	1	0	0	0	0	0	0	0	985
2009/03	177	67	682	0	1	0	0	0	0	0	0	0	0	0	927
2009/02	177	66	682	0	1	0	0	0	0	0	0	0	0	0	926
2009/01	177	66	682	0	1	0	0	0	0	0	0	0	0	0	926
2008/12	177	66	682	0	1	0	0	0	0	0	0	0	0	0	926
2008/11	177	66	682	0	1	0	0	0	0	0	0	0	0	0	926
2008/10	177	66	682	0	1	0	0	0	0	0	0	0	0	0	926
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
