機関コード	12608
機関名称（日）	東京工業大学
機関名称（英）	Tokyo Institute of Technology
設置種別	国立大学
機関規模	C

機関リポジトリ名称（日）	東京工業大学リサーチリポジトリ
機関リポジトリ名称（英）	Tokyo Tech Research Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/82.jpg
機関リポジトリへのリンク（日）	http://t2r2.star.titech.ac.jp/
機関リポジトリへのリンク（英）	http://t2r2.star.titech.ac.jp/index_en.html
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/82.jpg
郵便番号	152-8550
住所	東京都目黒区大岡山 2-12-1 L-1
使用ソフトウェア	T2R2システム
試験公開日	2007/01/09
本公開日	2007/08/31
備考（日）	東工大の学術研究成果を一元的に検索・閲覧が可能
備考（英）	It provides academic data as papers and books published by researchers of Tokyo Tech.

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/01	20	0	0	33	0	0	0	0	0	0	0	0	0	0	53
2009/12	18	0	0	27	0	0	0	1	0	0	0	0	0	0	46
2009/11	7	0	0	10	0	0	0	1	0	0	0	0	0	0	18
2009/10	7	0	0	3	0	0	0	1	0	0	0	0	0	0	11
2009/09	7	0	0	3	0	0	0	1	0	0	0	0	0	0	11
2009/08	7	0	0	3	0	0	0	1	0	0	0	0	0	0	11
2009/07	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6
2009/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
