機関コード	12614
機関名称（日）	東京海洋大学
機関名称（英）	Tokyo University of Marine Science and Technology
設置種別	国立大学
機関規模	C

機関リポジトリ名称（日）	東京海洋大学学術機関リポジトリ
機関リポジトリ名称（英）	Tokyo University of Marine Science and Technology Open Access Collection of International and Scholarly Papers
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/82.jpg
機関リポジトリへのリンク（日）	http://oacis.lib.kaiyodai.ac.jp/
機関リポジトリへのリンク（英）	http://oacis.lib.kaiyodai.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/82.gif
郵便番号	108-8477
住所	東京都港区港南4-5-7
使用ソフトウェア	DSpace
試験公開日	2008/03/28
本公開日	
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	0	191	340	0	0	0	0	0	0	0	0	0	0	31	562
2010/04	0	191	340	0	0	0	0	0	0	0	0	0	0	31	562
2010/03	0	191	340	0	0	0	0	0	0	0	0	0	0	31	562
2010/02	0	191	340	0	0	0	0	0	0	0	0	0	0	31	562
2010/01	0	191	340	0	0	0	0	0	0	0	0	0	0	31	562
2009/12	0	187	340	0	0	0	0	0	0	0	0	0	0	31	558
2009/11	0	186	340	0	0	0	0	0	0	0	0	0	0	31	557
2009/10	0	186	340	0	0	0	0	0	0	0	0	0	0	31	557
2009/09	0	186	340	0	0	0	0	0	0	0	0	0	0	31	557
2009/08	0	185	340	0	0	0	0	0	0	0	0	0	0	31	556
2009/07	0	185	340	0	0	0	0	0	0	0	0	0	0	31	556
2009/06	3	185	333	0	0	0	0	0	0	0	1	0	0	28	550
2009/05	3	153	308	0	0	0	0	0	0	0	1	0	0	22	487
2009/04	3	153	308	0	0	0	0	0	0	0	1	0	0	22	487
2009/03	3	153	327	0	0	0	0	0	0	0	1	0	0	3	487
2009/02	3	153	327	0	0	0	0	0	0	0	1	0	0	3	487
2009/01	3	153	327	0	0	0	0	0	0	0	1	0	0	3	487
2008/12	3	153	327	0	0	0	0	0	0	0	1	0	0	3	487
2008/11	0	150	327	0	0	0	0	0	0	0	0	0	0	0	477
2008/10	0	147	327	0	0	0	0	0	0	0	0	0	0	0	474
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
