機関コード	11301
機関名称（日）	東北大学
機関名称（英）	Tohoku University
設置種別	国立大学
機関規模	A

機関リポジトリ名称（日）	東北大学機関リポジトリ　TOUR
機関リポジトリ名称（英）	Tohoku University Repository  TOUR
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/84.gif
機関リポジトリへのリンク（日）	http://ir.library.tohoku.ac.jp/re/
機関リポジトリへのリンク（英）	http://ir.library.tohoku.ac.jp/re/?locale=en
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/84.gif
郵便番号	980-8576
住所	宮城県仙台市青葉区川内27-1
使用ソフトウェア	DSpace
試験公開日	2006/12/15
本公開日	2007/03/05
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/01	1188	358	10043	0	10	0	0	0	0	0	32	0	0	17470	29101
2009/12	1180	356	10043	0	8	0	0	0	0	0	32	0	0	17470	29089
2009/11	1176	356	10043	0	7	0	0	0	0	0	32	0	0	17470	29084
2009/10	1175	354	10043	0	6	0	0	0	0	0	32	0	0	17470	29080
2009/09	1175	332	10043	0	6	0	0	0	0	0	32	0	0	17469	29057
2009/08	1175	328	10043	0	6	0	0	0	0	0	32	0	0	17468	29052
2009/07	1174	328	10043	0	6	0	0	0	0	0	31	0	0	17468	29050
2009/06	1174	327	10043	0	6	0	0	0	0	0	31	0	0	17468	29049
2009/05	1173	327	10043	0	5	0	0	0	0	0	31	0	0	17467	29046
2009/04	1173	301	10043	0	5	0	0	0	0	0	30	0	0	17466	29018
2009/03	1067	231	10038	0	5	0	0	0	0	0	30	0	0	17465	28836
2009/02	1067	148	9911	0	5	0	0	0	0	0	25	0	0	17171	28327
2009/01	1065	148	9869	0	5	0	0	0	0	0	25	0	0	17171	28283
2008/12	1065	147	9853	0	5	0	0	0	0	0	25	0	0	17171	28266
2008/11	958	145	9853	0	2	0	0	0	0	0	25	0	0	17170	28153
2008/10	603	145	9853	0	2	0	0	0	0	0	25	0	0	17170	27798
2008/09	17216	0	0	0	0	0	0	0	0	0	1	0	0	10313	27530
2008/08	17217	0	0	0	0	0	0	0	0	0	1	0	0	10173	27391
2008/07	17217	0	0	0	0	0	0	0	0	0	1	0	0	10173	27391
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
