機関コード	10102
機関名称（日）	北海道教育大学
機関名称（英）	Hokkaido University of Education
設置種別	国立大学
機関規模	D

機関リポジトリ名称（日）	北海道教育大学学術リポジトリ
機関リポジトリ名称（英）	Hokkaido University of Education Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/84.gif
機関リポジトリへのリンク（日）	http://s-ir.sap.hokkyodai.ac.jp/
機関リポジトリへのリンク（英）	
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/84.gif
郵便番号	002-8503
住所	札幌市北区あいの里5条3丁目1番
使用ソフトウェア	DSpace
試験公開日	2008/06/05
本公開日	2010/02/01
備考（日）	
備考（英）	

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	39	0	927	0	1	0	0	18	0	0	0	0	0	96	1081
2011/10	39	0	927	0	1	0	0	18	0	0	0	0	0	96	1081
2011/09	39	0	927	0	1	0	0	16	0	0	0	0	0	96	1079
2011/08	39	0	896	0	1	0	0	16	0	0	0	0	0	96	1048
2011/07	39	0	896	0	0	0	0	16	0	0	0	0	0	96	1047
2011/06	39	0	881	0	0	0	0	10	0	0	0	0	0	96	1026
2011/05	39	0	881	0	0	0	0	10	0	0	0	0	0	95	1025
2011/04	39	0	881	0	0	0	0	10	0	0	0	0	0	95	1025
2011/03	39	0	820	0	0	0	0	10	0	0	0	0	0	92	961
2011/02	39	0	820	0	0	0	0	10	0	0	0	0	0	92	961
2011/01	39	0	820	0	0	0	0	10	0	0	0	0	0	92	961
2010/12	39	0	820	0	0	0	0	10	0	0	0	0	0	92	961
2010/11	39	0	820	0	0	0	0	10	0	0	0	0	0	92	961
2010/10	39	0	820	0	0	0	0	10	0	0	0	0	0	92	961
2010/09	39	0	820	0	0	0	0	10	0	0	0	0	0	92	961
2010/08	39	0	775	0	0	0	0	10	0	0	0	0	0	92	916
2010/07	39	0	775	0	0	0	0	9	0	0	0	0	0	92	915
2010/06	39	0	888	0	0	0	0	9	0	0	0	0	0	228	1164
2010/05	39	0	888	0	0	0	0	9	0	0	0	0	0	228	1164
2010/04	39	0	888	0	0	0	0	9	0	0	0	0	0	216	1152
2010/03	0	0	571	0	0	0	0	8	0	0	0	0	0	38	617
2010/02	0	0	486	0	0	0	0	8	0	0	0	0	0	0	494
2010/01	0	0	486	0	0	0	0	1	0	0	0	0	0	0	487
2009/12	0	0	457	0	0	0	0	1	0	0	0	0	0	0	458
2009/11	0	0	494	0	0	0	0	1	0	0	0	0	0	0	495
2009/10	0	0	498	0	0	0	0	1	0	0	0	0	0	0	499
2009/09	0	0	498	0	0	0	0	1	0	0	0	0	0	0	499
2009/08	0	0	460	0	0	0	0	1	0	0	0	0	0	0	461
2009/07	0	0	460	0	0	0	0	1	0	0	0	0	0	0	461
2009/06	0	0	460	0	0	0	0	1	0	0	0	0	0	0	461
2009/05	0	0	460	0	0	0	0	1	0	0	0	0	0	0	461
2009/04	0	0	460	0	0	0	0	1	0	0	0	0	0	0	461
2009/03	0	0	305	0	0	0	0	1	0	0	0	0	0	0	306
2009/02	0	0	279	0	0	0	0	1	0	0	0	0	0	0	280
2009/01	0	0	279	0	0	0	0	1	0	0	0	0	0	0	280
2008/12	0	0	279	0	0	0	0	1	0	0	0	0	0	0	280
2008/11	0	0	279	0	0	0	0	1	0	0	0	0	0	0	280
2008/10	0	0	279	0	0	0	0	1	0	0	0	0	0	0	280
2008/09	0	0	279	0	0	0	0	0	0	0	0	0	0	0	279
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
