機関コード	32616
機関名称（日）	国士舘大学
機関名称（英）	Kokushikan University
設置種別	私立大学
機関規模	B

機関リポジトリ名称（日）	国士舘学術情報サービス
機関リポジトリ名称（英）	Kokushikan Knowledge Integrated Service System
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/86.gif
機関リポジトリへのリンク（日）	http://libw01.kokushikan.ac.jp/
機関リポジトリへのリンク（英）	
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/86.gif
郵便番号	154-8515
住所	東京都世田谷区世田谷4-28-1
使用ソフトウェア	UNIX　 Windows　　データベースエンジン”Shunsaku”
試験公開日	2007/09/01
本公開日	2007/11/01
備考（日）	自学開発　無料配布
備考（英）	Self Development.   Use Free.

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/01	0	1	3032	0	0	3	0	107	10	0	14	0	0	13	3180
2009/12	0	1	3032	0	0	3	0	107	10	0	14	0	0	13	3180
2009/11	0	1	3032	0	0	3	0	107	10	0	14	0	0	13	3180
2009/10	0	1	3032	0	0	3	0	107	10	0	14	0	0	13	3180
2009/09	0	1	3032	0	0	3	0	107	10	0	14	0	0	13	3180
2009/08	0	1	3032	0	0	3	0	107	10	0	14	0	0	13	3180
2009/07	0	1	3032	0	0	3	0	107	10	0	14	0	0	13	3180
2009/06	0	1	3032	0	0	3	0	107	10	0	14	0	0	13	3180
2009/05	0	1	3032	0	0	3	0	107	10	0	14	0	0	13	3180
2009/04	0	1	3032	0	0	3	0	100	10	0	14	0	0	13	3173
2009/03	0	1	3028	0	0	3	0	104	10	0	14	0	0	13	3173
2009/02	0	1	2998	0	0	3	0	104	10	0	14	0	0	13	3143
2009/01	0	0	2940	0	0	3	0	104	10	0	14	0	0	13	3084
2008/12	0	0	2940	0	0	3	0	104	10	0	14	0	0	13	3084
2008/11	0	0	2930	0	0	3	0	104	10	0	14	0	0	2	3063
2008/10	0	0	2930	0	0	3	0	104	10	0	0	0	0	2	3049
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
