機関コード	12101
機関名称（日）	茨城大学
機関名称（英）	Ibaraki University
設置種別	国立大学
機関規模	B

機関リポジトリ名称（日）	ROSE リポジトリいばらき
機関リポジトリ名称（英）	ROSE Repository Ibaraki
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/86.gif
機関リポジトリへのリンク（日）	http://ir.lib.ibaraki.ac.jp/
機関リポジトリへのリンク（英）	http://ir.lib.ibaraki.ac.jp/?lang=en
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/86.gif
郵便番号	310-8512
住所	茨城県水戸市文京2-1-1
使用ソフトウェア	DSpace
試験公開日	2007/10/01
本公開日	2008/04/01
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	14	1	644	18	2	0	0	153	0	2	8	0	0	78	920
2010/04	14	1	638	18	1	0	0	150	0	1	8	0	0	77	908
2010/03	14	1	638	18	1	0	0	141	0	1	8	0	0	77	899
2010/02	14	1	609	18	1	0	0	138	0	1	8	0	0	73	863
2010/01	14	1	609	18	1	0	0	138	0	1	8	0	0	73	863
2009/12	14	1	609	18	1	0	0	138	0	1	8	0	0	73	863
2009/11	14	1	590	18	1	0	0	138	0	1	2	0	0	65	830
2009/10	12	1	570	18	1	0	0	138	0	1	2	0	0	60	803
2009/09	12	1	570	18	1	0	0	137	0	1	2	0	0	60	802
2009/08	12	1	550	12	1	0	0	107	0	1	2	0	0	60	746
2009/07	5	1	496	0	1	0	0	107	0	1	2	0	0	60	673
2009/06	5	1	496	0	1	0	0	107	0	1	2	0	0	60	673
2009/05	4	1	496	0	1	0	0	107	0	1	2	0	0	60	672
2009/04	4	1	463	0	1	0	0	102	0	0	2	0	0	54	627
2009/03	4	1	463	0	1	0	0	102	0	0	2	0	0	54	627
2009/02	4	1	463	0	1	0	0	102	0	0	2	0	0	54	627
2009/01	4	0	463	0	1	0	0	102	0	0	2	0	0	54	626
2008/12	4	0	463	0	1	0	0	102	0	0	2	0	0	54	626
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
