機関コード	17702
機関名称（日）	鹿屋体育大学
機関名称（英）	National Institute of Fitness and Sports in Kanoya
設置種別	国立大学
機関規模	D

機関リポジトリ名称（日）	鹿屋体育大学学術情報リポジトリ
機関リポジトリ名称（英）	National Institute of Fitness and Sports in Kanoya Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/87.gif
機関リポジトリへのリンク（日）	http://repo.lib.nifs-k.ac.jp/
機関リポジトリへのリンク（英）	http://repo.lib.nifs-k.ac.jp/?lang=en
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/87.gif
郵便番号	891-2393
住所	鹿児島県鹿屋市白水町1番地
使用ソフトウェア	DSpace
試験公開日	
本公開日	2008/07/01
備考（日）	
備考（英）	

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	8	0	351	0	0	0	0	81	0	0	0	0	0	0	440
2011/10	8	0	351	0	0	0	0	81	0	0	0	0	0	0	440
2011/09	7	0	351	0	0	0	0	81	0	0	0	0	0	0	439
2011/08	7	0	351	0	0	0	0	81	0	0	0	0	0	0	439
2011/07	7	0	351	0	0	0	0	81	0	0	0	0	0	0	439
2011/06	7	0	351	0	0	0	0	81	0	0	0	0	0	0	439
2011/05	7	0	341	0	0	0	0	81	0	0	0	0	0	0	429
2011/04	7	0	341	0	0	0	0	81	0	0	0	0	0	0	429
2011/03	7	0	341	0	0	0	0	81	0	0	0	0	0	0	429
2011/02	7	0	341	0	0	0	0	81	0	0	0	0	0	0	429
2011/01	7	0	341	0	0	0	0	81	0	0	0	0	0	0	429
2010/12	7	0	341	0	0	0	0	81	0	0	0	0	0	0	429
2010/11	4	0	341	0	0	0	0	81	0	0	0	0	0	0	426
2010/10	3	0	341	0	0	0	0	81	0	0	0	0	0	0	425
2010/09	3	0	341	0	0	0	0	81	0	0	0	0	0	0	425
2010/08	3	0	341	0	0	0	0	81	0	0	0	0	0	0	425
2010/07	3	0	341	0	0	0	0	81	0	0	0	0	0	0	425
2010/06	3	0	341	0	0	0	0	6	0	0	0	0	0	0	350
2010/05	3	0	341	0	0	0	0	6	0	0	0	0	0	0	350
2010/04	3	0	334	0	0	0	0	0	0	0	0	0	0	0	337
2010/03	3	0	334	0	0	0	0	0	0	0	0	0	0	0	337
2010/02	3	0	334	0	0	0	0	0	0	0	0	0	0	0	337
2010/01	3	0	334	0	0	0	0	0	0	0	0	0	0	0	337
2009/12	3	0	324	0	0	0	0	0	0	0	0	0	0	0	327
2009/11	2	0	324	0	0	0	0	0	0	0	0	0	0	0	326
2009/10	2	0	324	0	0	0	0	0	0	0	0	0	0	0	326
2009/09	2	0	324	0	0	0	0	0	0	0	0	0	0	0	326
2009/08	2	0	324	0	0	0	0	0	0	0	0	0	0	0	326
2009/07	2	0	324	0	0	0	0	0	0	0	0	0	0	0	326
2009/06	2	0	324	0	0	0	0	0	0	0	0	0	0	0	326
2009/05	2	0	324	0	0	0	0	0	0	0	0	0	0	0	326
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
