機関コード	32704
機関名称（日）	関東学院大学
機関名称（英）	Kanto Gakuin University
設置種別	私立大学
機関規模	B

機関リポジトリ名称（日）	関東学院大学機関リポジトリ
機関リポジトリ名称（英）	Kanto Gakuin University Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/8.jpg
機関リポジトリへのリンク（日）	http://opac.kanto-gakuin.ac.jp/
機関リポジトリへのリンク（英）	http://opac.kanto-gakuin.ac.jp/en/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/8.jpg
郵便番号	236-8501
住所	神奈川県横浜市金沢区六浦東1-50-1　関東学院大学図書館
使用ソフトウェア	iLisSurf
試験公開日	2003/10/01
本公開日	2005/03/01
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	0	0	685	0	5	0	1	3	0	0	0	0	0	23	717
2010/04	0	0	664	0	5	0	1	3	0	0	0	0	0	23	696
2010/03	0	0	664	0	5	0	1	3	0	0	0	0	0	23	696
2010/02	0	0	649	0	5	0	1	3	0	0	0	0	0	23	681
2010/01	0	0	641	0	5	0	1	3	0	0	0	0	0	23	673
2009/12	0	0	622	0	5	0	1	3	0	0	0	0	0	22	653
2009/11	0	0	599	0	5	0	1	3	0	0	0	0	0	19	627
2009/10	0	0	599	0	5	0	1	3	0	0	0	0	0	19	627
2009/09	0	0	591	0	5	0	1	3	0	0	0	0	0	19	619
2009/08	0	0	590	0	5	0	1	3	0	0	0	0	0	19	618
2009/07	0	0	590	0	4	0	1	3	0	0	0	0	0	19	617
2009/06	0	0	556	0	0	0	1	3	0	0	0	0	0	19	579
2009/05	0	0	556	0	0	0	1	3	0	0	0	0	0	19	579
2009/04	0	0	531	0	0	0	1	3	0	0	0	0	0	19	554
2009/03	0	0	532	0	0	0	0	3	0	0	0	0	0	19	554
2009/02	0	0	513	0	0	0	0	3	0	0	0	0	0	19	535
2009/01	0	0	501	0	0	0	0	3	0	0	0	0	0	19	523
2008/12	0	0	501	0	0	0	0	3	0	0	0	0	0	19	523
2008/11	0	0	501	0	0	0	0	3	0	0	0	0	0	19	523
2008/10	0	0	508	0	0	0	0	3	0	0	0	0	0	16	527
2008/09	0	0	502	0	0	0	0	3	0	0	0	0	0	16	521
2008/08	0	0	502	0	0	0	0	3	0	0	0	0	0	16	521
2008/07	0	0	502	0	0	0	0	3	0	0	0	0	0	16	521
2008/06	0	0	502	0	0	0	0	3	0	0	0	0	0	16	521
2008/05	0	0	503	0	0	0	0	3	0	0	0	0	0	16	522
2008/04	0	0	487	0	0	0	0	1	0	0	0	0	0	16	504
2008/03	0	0	479	0	0	0	0	1	0	0	0	0	0	16	496
2008/02	0	0	436	0	0	0	0	1	0	0	0	0	0	12	449
2008/01	0	0	352	0	0	0	0	0	0	0	0	0	0	9	361
2007/12	0	0	345	0	0	0	0	0	0	0	0	0	0	9	354
2007/11	0	0	318	0	0	0	0	0	0	0	0	0	0	9	327
2007/10	0	0	301	0	0	0	0	0	0	0	0	0	0	2	303
2007/09	0	0	301	0	0	0	0	0	0	0	0	0	0	2	303
2007/08	0	0	301	0	0	0	0	0	0	0	0	0	0	2	303
2007/07	0	0	295	0	0	0	0	0	0	0	0	0	0	2	297
2007/06	0	0	292	0	0	0	0	0	0	0	0	0	0	2	294
2007/05	0	0	288	0	0	0	0	0	0	0	0	0	0	2	290
2007/04	0	0	590	0	0	0	0	0	0	0	0	0	0	4	594
