機関コード	32412
機関名称（日）	聖学院大学
機関名称（英）	Seigakuin University
設置種別	私立大学
機関規模	C

機関リポジトリ名称（日）	聖学院学術情報発信システム　SERVE
機関リポジトリ名称（英）	SERVE
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/89.gif
機関リポジトリへのリンク（日）	http://serve.seigakuin-univ.ac.jp/
機関リポジトリへのリンク（英）	http://serve.seigakuin-univ.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/89.gif
郵便番号	362-8585
住所	埼玉県上尾市戸崎1-1
使用ソフトウェア	XooNips library
試験公開日	2009/01/21
本公開日	2009/02/14
備考（日）	
備考（英）	

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/05	0	466	0	0	0	0	54	0	28	0	0	0	0	22	570
2010/04	0	453	0	0	0	0	56	0	0	0	0	0	0	17	526
2010/03	0	441	0	0	0	0	54	0	0	0	0	0	0	17	512
2010/02	0	440	0	0	0	0	48	0	0	0	0	0	0	9	497
2010/01	0	429	0	0	0	0	53	0	0	0	0	0	0	14	496
2009/12	0	387	0	0	0	0	49	0	0	0	0	0	0	10	446
2009/11	0	381	0	0	0	0	47	0	0	0	0	0	0	8	436
2009/10	0	294	0	0	0	0	47	0	0	0	0	0	0	8	349
2009/09	0	276	0	0	0	0	47	0	0	0	0	0	0	8	331
2009/08	0	276	0	0	0	0	47	0	0	0	0	0	0	8	331
2009/07	0	166	0	0	0	0	27	0	0	0	0	0	0	5	198
2009/06	0	166	0	0	0	0	27	0	0	0	0	0	0	5	198
2009/05	0	165	0	0	0	0	25	0	0	0	0	0	0	5	195
2009/04	0	130	0	0	0	0	20	0	0	0	0	0	0	4	154
2009/03	0	111	0	0	0	0	20	0	0	0	0	0	0	3	134
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
