機関コード	32714
機関名称（日）	神奈川工科大学
機関名称（英）	Kanagawa Institute of Technology
設置種別	私立大学
機関規模	C

機関リポジトリ名称（日）	神奈川工科大学学術情報リポジトリ
機関リポジトリ名称（英）	DSpace＠kanagawa Institute of Technology
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/91.gif
機関リポジトリへのリンク（日）	http://www.kait-r.com:8080/dspace/
機関リポジトリへのリンク（英）	http://www.kait-r.com:8080/dspace/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/91.gif
郵便番号	243-0292
住所	神奈川県厚木市下荻野1030
使用ソフトウェア	DSpace
試験公開日	2008/12/01
本公開日	2009/02/01
備考（日）	CiNii連携対象 
備考（英）	This IR cooperates with CiNii 

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/01	0	0	947	0	0	0	0	0	0	0	0	0	0	0	947
2009/12	0	0	947	0	0	0	0	0	0	0	0	0	0	0	947
2009/11	0	0	947	0	0	0	0	0	0	0	0	0	0	0	947
2009/10	0	0	947	0	0	0	0	0	0	0	0	0	0	0	947
2009/09	0	0	947	0	0	0	0	0	0	0	0	0	0	0	947
2009/08	0	0	947	0	0	0	0	0	0	0	0	0	0	0	947
2009/07	0	0	947	0	0	0	0	0	0	0	0	0	0	0	947
2009/06	0	0	947	0	0	0	0	0	0	0	0	0	0	0	947
2009/05	0	0	947	0	0	0	0	0	0	0	0	0	0	0	947
2009/04	0	0	947	0	0	0	0	0	0	0	0	0	0	0	947
2009/03	0	0	947	0	0	0	0	0	0	0	0	0	0	0	947
2009/02	0	0	947	0	0	0	0	0	0	0	0	0	0	0	947
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
