機関コード	10105
機関名称（日）	帯広畜産大学
機関名称（英）	Obihiro University of Agriculture and Veterinary Medicine
設置種別	国立大学
機関規模	D

機関リポジトリ名称（日）	帯広畜産大学学術情報リポジトリ
機関リポジトリ名称（英）	Obihiro University of Agriculture and Veterinary Medicine Academic Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/92.gif
機関リポジトリへのリンク（日）	http://ir.obihiro.ac.jp/dspace/index.jsp
機関リポジトリへのリンク（英）	http://ir.obihiro.ac.jp/dspace/index.jsp
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/92.gif
郵便番号	080-8555
住所	北海道帯広市稲田町西２線１１番地
使用ソフトウェア	DSpace
試験公開日	2007/02/19
本公開日	2007/06/01
備考（日）	
備考（英）	

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/01	45	54	163	0	11	4	0	364	917	0	2	0	0	221	1781
2009/12	45	41	163	0	11	4	0	364	917	0	2	0	0	221	1768
2009/11	45	33	163	0	11	4	0	364	919	0	2	0	0	221	1762
2009/10	41	26	163	0	11	4	0	364	921	0	2	0	0	221	1753
2009/09	36	26	163	0	11	4	0	364	921	0	2	0	0	221	1748
2009/08	36	26	163	0	11	4	0	364	921	0	2	0	0	221	1748
2009/07	36	26	163	0	11	4	0	350	921	0	2	0	0	219	1732
2009/06	36	26	163	0	11	4	0	350	921	0	1	0	0	219	1731
2009/05	36	26	163	0	11	4	0	350	921	0	1	0	0	219	1731
2009/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
