機関コード	14202
機関名称（日）	滋賀医科大学
機関名称（英）	Shiga University of Medical Science
設置種別	国立大学
機関規模	D

機関リポジトリ名称（日）	滋賀医科大学機関リポジトリ
機関リポジトリ名称（英）	Shiga University of Medical Science Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/92.gif
機関リポジトリへのリンク（日）	http://repository.shiga-med.ac.jp/
機関リポジトリへのリンク（英）	http://repository.shiga-med.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/92.gif
郵便番号	520-2192
住所	滋賀県大津市瀬田月輪町
使用ソフトウェア	DSpace
試験公開日	2007/04/01
本公開日	2008/04/01
備考（日）	愛称：びわ庫
備考（英）	

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	0	0	80	0	0	0	0	0	5	0	0	0	0	83	168
2011/10	0	0	80	0	0	0	0	0	5	0	0	0	0	28	113
2011/09	0	0	80	0	0	0	0	0	5	0	0	0	0	28	113
2011/08	0	0	80	0	0	0	0	0	5	0	0	0	0	28	113
2011/07	0	0	80	0	0	0	0	0	5	0	0	0	0	28	113
2011/06	0	0	80	0	0	0	0	0	5	0	0	0	0	28	113
2011/05	0	0	80	0	0	0	0	0	5	0	0	0	0	28	113
2011/04	0	0	80	0	0	0	0	0	5	0	0	0	0	28	113
2011/03	0	0	80	0	0	0	0	0	5	0	0	0	0	28	113
2011/02	0	0	80	0	0	0	0	0	5	0	0	0	0	28	113
2011/01	0	0	80	0	0	0	0	0	5	0	0	0	0	28	113
2010/12	0	0	80	0	0	0	0	0	5	0	0	0	0	28	113
2010/11	0	0	78	0	0	0	0	0	5	0	0	0	0	28	111
2010/10	0	0	78	0	0	0	0	0	5	0	0	0	0	28	111
2010/09	0	0	78	0	0	0	0	0	5	0	0	0	0	28	111
2010/08	0	0	78	0	0	0	0	0	5	0	0	0	0	28	111
2010/07	0	0	78	0	0	0	0	0	5	0	0	0	0	28	111
2010/06	0	0	78	0	0	0	0	0	5	0	0	0	0	28	111
2010/05	0	0	56	0	0	0	0	0	4	0	0	0	0	27	87
2010/04	0	0	56	0	0	0	0	0	4	0	0	0	0	27	87
2010/03	0	0	56	0	0	0	0	0	4	0	0	0	0	25	85
2010/02	0	0	56	0	0	0	0	0	4	0	0	0	0	25	85
2010/01	0	0	56	0	0	0	0	0	4	0	0	0	0	25	85
2009/12	0	0	56	0	0	0	0	0	4	0	0	0	0	25	85
2009/11	0	0	56	0	0	0	0	0	4	0	0	0	0	25	85
2009/10	0	0	51	0	0	0	0	0	9	0	0	0	0	25	85
2009/09	0	0	0	0	0	12	0	0	61	0	0	0	0	12	85
2009/08	0	5	44	0	0	12	0	10	4	0	0	0	0	10	85
2009/07	0	5	44	0	0	12	0	10	4	0	0	0	0	10	85
2009/06	0	5	44	0	0	12	0	10	4	0	0	0	0	10	85
2009/05	0	5	41	0	0	12	0	10	4	0	0	0	0	10	82
2009/04	0	5	41	0	0	12	0	10	4	0	0	0	0	10	82
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
