機関コード	32674
機関名称（日）	文化女子大学
機関名称（英）	Bunka Women’s University
設置種別	私立大学
機関規模	C

機関リポジトリ名称（日）	文化学園リポジトリ
機関リポジトリ名称（英）	Academic Repository of BUNKA GAKUEN
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/94.gif
機関リポジトリへのリンク（日）	http://dspace.bunka.ac.jp/dspace
機関リポジトリへのリンク（英）	http://dspace.bunka.ac.jp/dspace
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/94.gif
郵便番号	151-8523
住所	東京都渋谷区代々木3-22-1
使用ソフトウェア	DSpace
試験公開日	
本公開日	2009/04/01
備考（日）	
備考（英）	

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/01	9	0	82	0	0	0	0	14	0	0	0	0	0	0	105
2009/12	9	0	82	0	0	0	0	14	0	0	0	0	0	0	105
2009/11	9	0	82	0	0	0	0	14	0	0	0	0	0	0	105
2009/10	4	0	82	0	0	0	0	13	0	0	0	0	0	0	99
2009/09	4	0	82	0	0	0	0	6	0	0	0	0	0	0	92
2009/08	4	0	82	0	0	0	0	0	0	0	0	0	0	0	86
2009/07	4	0	82	0	0	0	0	0	0	0	0	0	0	0	86
2009/06	4	0	82	0	0	0	0	0	0	0	0	0	0	0	86
2009/05	3	0	82	0	0	0	0	0	0	0	0	0	0	0	85
2009/04	0	0	82	0	0	0	0	0	0	0	0	0	0	0	82
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
