機関コード	16201
機関名称（日）	香川大学
機関名称（英）	Kagawa University
設置種別	国立大学
機関規模	B

機関リポジトリ名称（日）	香川大学学術情報リポジトリ
機関リポジトリ名称（英）	Open Library Archives of Kagawa University
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/94.gif
機関リポジトリへのリンク（日）	http://www.lib.kagawa-u.ac.jp/www/repository/repo_index.html
機関リポジトリへのリンク（英）	http://www.lib.kagawa-u.ac.jp/www/repository/repo_index.html
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/94.gif
郵便番号	760-8525
住所	香川県高松市幸町１番１号
使用ソフトウェア	e-repository
試験公開日	2008/12/03
本公開日	2009/04/01
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii  

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2011/11	370	12	4993	13	8	17	0	1	3	0	0	0	0	83	5500
2011/10	370	12	4993	13	8	17	0	1	3	0	0	0	0	83	5500
2011/09	370	12	4952	13	8	17	0	1	3	0	0	0	0	83	5459
2011/08	370	12	4947	13	8	17	0	1	3	0	0	0	0	83	5454
2011/07	370	12	4941	13	8	17	0	1	3	0	0	0	0	83	5448
2011/06	370	12	4875	13	8	17	0	1	3	0	0	0	0	83	5382
2011/05	370	12	4875	13	8	16	0	1	3	0	0	0	0	83	5381
2011/04	370	12	4875	13	8	16	0	1	3	0	0	0	0	83	5381
2011/03	370	11	4875	13	8	16	0	1	3	0	0	0	0	83	5380
2011/02	370	11	4875	13	8	16	0	1	3	0	0	0	0	83	5380
2011/01	370	11	4875	13	8	16	0	1	3	0	0	0	0	83	5380
2010/12	370	11	4867	13	8	16	0	1	3	0	0	0	0	83	5372
2010/11	370	11	4810	13	8	16	0	1	3	0	0	0	0	83	5315
2010/10	370	11	4803	13	8	16	0	1	3	0	0	0	0	83	5308
2010/09	370	11	4623	13	8	16	0	1	3	0	0	0	0	83	5128
2010/08	370	11	4506	13	8	16	0	1	3	0	0	0	0	83	5011
2010/07	370	11	4277	13	8	16	0	1	3	0	0	0	0	83	4782
2010/06	370	11	4277	13	8	16	0	1	3	0	0	0	0	83	4782
2010/05	370	11	4103	13	8	16	0	1	3	0	0	0	0	83	4608
2010/04	370	11	4036	13	8	16	0	1	3	0	0	0	0	83	4541
2010/03	370	11	4014	13	8	16	0	1	3	0	0	0	0	83	4519
2010/02	361	8	3594	13	7	16	0	1	3	0	0	0	0	83	4086
2010/01	85	8	3409	13	7	16	0	1	3	0	0	0	0	83	3625
2009/12	83	8	2865	11	7	16	0	1	3	0	0	0	0	53	3047
2009/11	60	8	2464	10	5	16	0	1	3	0	0	0	0	22	2589
2009/10	60	8	2113	10	4	16	0	1	3	0	0	0	0	22	2237
2009/09	56	8	1570	10	4	16	0	1	3	0	0	0	0	22	1690
2009/08	46	8	1233	9	4	16	0	1	2	0	0	0	0	22	1341
2009/07	28	8	1037	8	4	16	0	0	2	0	0	0	0	22	1125
2009/06	18	8	1013	0	2	16	0	0	2	0	0	0	0	22	1081
2009/05	10	8	970	0	2	2	0	0	2	0	0	0	0	22	1016
2009/04	4	5	847	0	2	1	0	0	2	0	0	0	0	10	871
2009/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
