機関コード	12701
機関名称（日）	横浜国立大学
機関名称（英）	Yokohama National University
設置種別	国立大学
機関規模	C

機関リポジトリ名称（日）	横浜国立大学学術情報リポジトリ
機関リポジトリ名称（英）	Yokohama National University Repository
機関リポジトリトップページ画像	http://irdb.nii.ac.jp/analysis/file/image/capture/9.bmp
機関リポジトリへのリンク（日）	http://kamome.lib.ynu.ac.jp/
機関リポジトリへのリンク（英）	http://kamome.lib.ynu.ac.jp/
機関リポジトリロゴマーク	http://irdb.nii.ac.jp/analysis/file/image/logo/9.jpg
郵便番号	240-8501
住所	神奈川県横浜市保土ヶ谷区常盤台79-6
使用ソフトウェア	DSpace
試験公開日	2007/03/22
本公開日	2008/10/01
備考（日）	CiNii連携対象
備考（英）	This IR cooperates with CiNii

	Journal Article（学術雑誌論文）	Thesis or Dissertation（学位論文）	Departmental Bulletin Paper（紀要論文）	Conference Paper（会議発表論文）	Presentation（会議発表用資料）	Book（図書）	Technical Report（テクニカルレポート）	Research Paper（研究報告書）	Article（一般雑誌記事）	Preprint（プレプリント）	Learning Material（教材）	Data or Dataset（データ・データベース）	Software（ソフトウェア）	Others（その他）	合計
2010/01	458	167	3139	53	11	139	0	1	4	0	0	0	0	6	3978
2009/12	457	153	3139	53	11	138	0	1	4	0	0	0	0	6	3962
2009/11	403	146	2468	53	11	70	0	1	4	0	0	0	0	6	3162
2009/10	403	146	2468	53	11	70	0	1	4	0	0	0	0	6	3162
2009/09	402	146	2439	53	11	70	0	1	4	0	0	0	0	6	3132
2009/08	394	146	2429	53	11	70	0	1	4	0	0	0	0	6	3114
2009/07	394	146	2431	53	11	70	0	1	4	0	0	0	0	6	3116
2009/06	394	147	2431	53	9	70	0	1	4	0	0	0	0	6	3115
2009/05	393	147	2431	53	9	70	0	1	3	0	0	0	0	6	3113
2009/04	390	137	2425	47	8	58	0	1	2	0	0	0	0	0	3068
2009/03	390	137	2425	47	8	58	0	1	2	0	0	0	0	0	3068
2009/02	381	126	2421	47	7	58	0	1	2	0	0	0	0	0	3043
2009/01	381	126	2415	47	7	58	0	1	2	0	0	0	0	0	3037
2008/12	378	126	2415	47	7	1	0	1	2	0	0	0	0	0	2977
2008/11	377	126	2415	47	7	1	0	1	2	0	0	0	0	0	2976
2008/10	377	126	2407	47	7	1	0	1	2	0	0	0	0	0	2968
2008/09	377	130	2407	47	7	1	0	1	2	0	0	0	0	0	2972
2008/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
